facility_node_set,facility_buffer_m,endpoint_snap_threshold_m,merge_mode,circuit_id,classification,terminal_count,terminal_endpoint_cluster_ids,terminal_details_json,terminal_facility_uids,ambiguous_facility_match,mixed_voltage,mixed_status,voltage,status,voltage_values,status_values,segment_count,total_length_m,total_length_km,source_line_ids,line_ids,geometry_type,r,x,b,thermal_limit,transformer_impedance,tap_settings
B,100,0.5,voltage-status-aware,UF_0p5_voltage-status-aware_00001,single-facility,2,"CL_0.5_02848,CL_0.5_03945","[{""endpoint_cluster_id"": ""CL_0.5_02848"", ""x"": 8603.595, ""y"": 218389.986, ""facility_uid"": """", ""facility_code"": """", ""facility_name"": """", ""facility_type"": """", ""facility_distance_m"": NaN, ""inside_facility"": false, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 0}, {""endpoint_cluster_id"": ""CL_0.5_03945"", ""x"": 8599.943, ""y"": 214478.906, ""facility_uid"": ""SE_AT:0303S5020700"", ""facility_code"": ""0303S5020700"", ""facility_name"": ""LAMAS"", ""facility_type"": ""SE_AT"", ""facility_distance_m"": 29.63, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}]",SE_AT:0303S5020700,False,False,False,60kv,em exploração,60kv,em exploração,4,4327.554611119039,4.327555,"608754081,608754031,608754005,608754013","ATSEG_00000_608754081,ATSEG_01629_608754031,ATSEG_02440_608754005,ATSEG_02441_608754013",MultiLineString,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED
B,100,0.5,voltage-status-aware,UF_0p5_voltage-status-aware_00002,ambiguous,2,"CL_0.5_02538,CL_0.5_05747","[{""endpoint_cluster_id"": ""CL_0.5_02538"", ""x"": 12651.868, ""y"": -11437.992, ""facility_uid"": ""SE_AT:1420S5664400"", ""facility_code"": ""1420S5664400"", ""facility_name"": ""ALMOUROL"", ""facility_type"": ""SE_AT"", ""facility_distance_m"": 18.177, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}, {""endpoint_cluster_id"": ""CL_0.5_05747"", ""x"": 30338.08, ""y"": -8913.95, ""facility_uid"": ""SE_AT:1401S5636700"", ""facility_code"": ""1401S5636700"", ""facility_name"": ""OLHO BOI"", ""facility_type"": ""SE_AT"", ""facility_distance_m"": 20.564, ""inside_facility"": true, ""ambiguous_facility_match"": true, ""candidate_facility_count"": 2}]","SE_AT:1420S5664400,SE_AT:1401S5636700",True,False,False,60kv,em exploração,60kv,em exploração,8,18798.118537480135,18.798119,"612487197,263477530,263477636,637613597,637613597,637613597,637613651,263494336","ATSEG_00001_612487197,ATSEG_01440_263477530,ATSEG_01441_263477636,ATSEG_04077_637613597,ATSEG_04078_637613597,ATSEG_04079_637613597,ATSEG_04080_637613651,ATSEG_05092_263494336",MultiLineString,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED
B,100,0.5,voltage-status-aware,UF_0p5_voltage-status-aware_00003,inter-facility,2,"CL_0.5_00006,CL_0.5_03752","[{""endpoint_cluster_id"": ""CL_0.5_00006"", ""x"": -6311.687, ""y"": 102252.05, ""facility_uid"": ""SE_AT:0114S5001700"", ""facility_code"": ""0114S5001700"", ""facility_name"": ""BUSTOS"", ""facility_type"": ""SE_AT"", ""facility_distance_m"": 21.023, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}, {""endpoint_cluster_id"": ""CL_0.5_03752"", ""x"": -16264.59, ""y"": 95573.743, ""facility_uid"": ""SE_AT:0608S5006500"", ""facility_code"": ""0608S5006500"", ""facility_name"": ""MIRA"", ""facility_type"": ""SE_AT"", ""facility_distance_m"": 21.02, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}]","SE_AT:0114S5001700,SE_AT:0608S5006500",False,False,False,60kv,em exploração,60kv,em exploração,3,14821.028800486576,14.821029,"401408778,401408778,401408778","ATSEG_00002_401408778,ATSEG_02281_401408778,ATSEG_02282_401408778",MultiLineString,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED
B,100,0.5,voltage-status-aware,UF_0p5_voltage-status-aware_00004,inter-facility,2,"CL_0.5_00007,CL_0.5_04752","[{""endpoint_cluster_id"": ""CL_0.5_00007"", ""x"": 1078.967, ""y"": 106149.02, ""facility_uid"": ""SE_AT:0114S5022700"", ""facility_code"": ""0114S5022700"", ""facility_name"": ""OLIVEIRA DO BAIRRO"", ""facility_type"": ""SE_AT"", ""facility_distance_m"": 39.542, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}, {""endpoint_cluster_id"": ""CL_0.5_04752"", ""x"": -6291.951, ""y"": 102265.535, ""facility_uid"": ""SE_AT:0114S5001700"", ""facility_code"": ""0114S5001700"", ""facility_name"": ""BUSTOS"", ""facility_type"": ""SE_AT"", ""facility_distance_m"": 26.015, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}]","SE_AT:0114S5022700,SE_AT:0114S5001700",False,False,False,60kv,em exploração,60kv,em exploração,3,8723.174159832339,8.723174,"473936596,2010426598,7820710","ATSEG_00003_473936596,ATSEG_03017_2010426598,ATSEG_03124_7820710",MultiLineString,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED
B,100,0.5,voltage-status-aware,UF_0p5_voltage-status-aware_00005,single-facility,2,"CL_0.5_00009,CL_0.5_04608","[{""endpoint_cluster_id"": ""CL_0.5_00009"", ""x"": 32661.627, ""y"": -187857.344, ""facility_uid"": ""SE_AT:0201S5050500"", ""facility_code"": ""0201S5050500"", ""facility_name"": ""ALJUSTREL"", ""facility_type"": ""SE_AT"", ""facility_distance_m"": 36.128, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}, {""endpoint_cluster_id"": ""CL_0.5_04608"", ""x"": 32380.641, ""y"": -188664.692, ""facility_uid"": """", ""facility_code"": """", ""facility_name"": """", ""facility_type"": """", ""facility_distance_m"": NaN, ""inside_facility"": false, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 0}]",SE_AT:0201S5050500,False,False,False,60kv,em exploração,60kv,em exploração,5,1052.5523695016666,1.052552,"440430444,3140391990,3140392007,681165790,2938359692","ATSEG_00004_440430444,ATSEG_03005_3140391990,ATSEG_03006_3140392007,ATSEG_04120_681165790,ATSEG_04546_2938359692",MultiLineString,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED
B,100,0.5,voltage-status-aware,UF_0p5_voltage-status-aware_00006,single-facility,2,"CL_0.5_02802,CL_0.5_02803","[{""endpoint_cluster_id"": ""CL_0.5_02802"", ""x"": 64836.425, ""y"": 174911.939, ""facility_uid"": ""SE_AT:1805S5001700"", ""facility_code"": ""1805S5001700"", ""facility_name"": ""VAROSA"", ""facility_type"": ""SE_AT"", ""facility_distance_m"": 54.528, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}, {""endpoint_cluster_id"": ""CL_0.5_02803"", ""x"": 66064.43, ""y"": 189649.936, ""facility_uid"": """", ""facility_code"": """", ""facility_name"": """", ""facility_type"": """", ""facility_distance_m"": NaN, ""inside_facility"": false, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 0}]",SE_AT:1805S5001700,False,False,False,60kv,desligado/reserva,60kv,desligado/reserva,4,14878.730236889023,14.87873,"523774251,523774251,523774251,523774251","ATSEG_00005_523774251,ATSEG_01600_523774251,ATSEG_01601_523774251,ATSEG_05246_523774251",MultiLineString,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED
B,100,0.5,voltage-status-aware,UF_0p5_voltage-status-aware_00007,inter-facility,2,"CL_0.5_03965,CL_0.5_05392","[{""endpoint_cluster_id"": ""CL_0.5_03965"", ""x"": -49975.964, ""y"": -53621.716, ""facility_uid"": ""SE_AT:1101S5423500"", ""facility_code"": ""1101S5423500"", ""facility_name"": ""MERCEANA"", ""facility_type"": ""SE_AT"", ""facility_distance_m"": 32.687, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}, {""endpoint_cluster_id"": ""CL_0.5_05392"", ""x"": -36545.485, ""y"": -61555.119, ""facility_uid"": ""SE_AT:1101S5335200"", ""facility_code"": ""1101S5335200"", ""facility_name"": ""VALE TEJO"", ""facility_type"": ""SE_AT"", ""facility_distance_m"": 56.613, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}]","SE_AT:1101S5423500,SE_AT:1101S5335200",False,False,False,60kv,em exploração,60kv,em exploração,6,16484.278132148047,16.484278,"649319328,649319401,219000282,632677322,731479176,1021059","ATSEG_00006_649319328,ATSEG_00007_649319401,ATSEG_02153_219000282,ATSEG_02457_632677322,ATSEG_02459_731479176,ATSEG_03691_1021059",MultiLineString,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED
B,100,0.5,voltage-status-aware,UF_0p5_voltage-status-aware_00008,inter-facility,2,"CL_0.5_03348,CL_0.5_03964","[{""endpoint_cluster_id"": ""CL_0.5_03348"", ""x"": -58196.898, ""y"": -51812.519, ""facility_uid"": ""SE_AT:1113S5480800"", ""facility_code"": ""1113S5480800"", ""facility_name"": ""MATACÃES"", ""facility_type"": ""SE_AT"", ""facility_distance_m"": 17.974, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}, {""endpoint_cluster_id"": ""CL_0.5_03964"", ""x"": -49962.486, ""y"": -53636.345, ""facility_uid"": ""SE_AT:1101S5423500"", ""facility_code"": ""1101S5423500"", ""facility_name"": ""MERCEANA"", ""facility_type"": ""SE_AT"", ""facility_distance_m"": 18.664, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}]","SE_AT:1113S5480800,SE_AT:1101S5423500",False,False,False,60kv,em exploração,60kv,em exploração,7,10590.218235650047,10.590218,"649319433,693044682,123613490,123613515,246772489,731479145,246772489","ATSEG_00008_649319433,ATSEG_00009_693044682,ATSEG_01961_123613490,ATSEG_01962_123613515,ATSEG_02154_246772489,ATSEG_02458_731479145,ATSEG_05022_246772489",MultiLineString,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED
B,100,0.5,voltage-status-aware,UF_0p5_voltage-status-aware_00009,tap / multi-terminal,3,"CL_0.5_00023,CL_0.5_00463,CL_0.5_06592","[{""endpoint_cluster_id"": ""CL_0.5_00023"", ""x"": -37972.616, ""y"": -65862.516, ""facility_uid"": ""SE_AT:1114S5340500"", ""facility_code"": ""1114S5340500"", ""facility_name"": ""AREIAS (VFX)"", ""facility_type"": ""SE_AT"", ""facility_distance_m"": 19.024, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}, {""endpoint_cluster_id"": ""CL_0.5_00463"", ""x"": -41919.313, ""y"": -71937.883, ""facility_uid"": ""PC_AT:1114P5340100"", ""facility_code"": ""1114P5340100"", ""facility_name"": ""SOBRALINHO"", ""facility_type"": ""PC_AT"", ""facility_distance_m"": 21.211, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}, {""endpoint_cluster_id"": ""CL_0.5_06592"", ""x"": -38167.396, ""y"": -65036.111, ""facility_uid"": ""PC_AT:1114P5329500"", ""facility_code"": ""1114P5329500"", ""facility_name"": ""EPAL"", ""facility_type"": ""PC_AT"", ""facility_distance_m"": 24.953, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}]","SE_AT:1114S5340500,PC_AT:1114P5340100,PC_AT:1114P5329500",False,False,False,60kv,em exploração,60kv,em exploração,13,11742.87190156677,11.742872,"615634052,615634108,828396879,841160805,841161049,841161571,841160862,841161189,841161213,828396929,841161061,841161608,615446123","ATSEG_00010_615634052,ATSEG_00012_615634108,ATSEG_00259_828396879,ATSEG_00260_841160805,ATSEG_00261_841161049,ATSEG_00262_841161571,ATSEG_02670_841160862,ATSEG_02672_841161189,ATSEG_02673_841161213,ATSEG_04227_828396929,ATSEG_04228_841161061,ATSEG_04229_841161608,ATSEG_05266_615446123",MultiLineString,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED
B,100,0.5,voltage-status-aware,UF_0p5_voltage-status-aware_00010,inter-facility,2,"CL_0.5_06593,CL_0.5_06614","[{""endpoint_cluster_id"": ""CL_0.5_06593"", ""x"": -38163.559, ""y"": -65029.354, ""facility_uid"": ""PC_AT:1114P5329500"", ""facility_code"": ""1114P5329500"", ""facility_name"": ""EPAL"", ""facility_type"": ""PC_AT"", ""facility_distance_m"": 27.321, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}, {""endpoint_cluster_id"": ""CL_0.5_06614"", ""x"": -37979.278, ""y"": -65877.68, ""facility_uid"": ""SE_AT:1114S5340500"", ""facility_code"": ""1114S5340500"", ""facility_name"": ""AREIAS (VFX)"", ""facility_type"": ""SE_AT"", ""facility_distance_m"": 20.314, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}]","PC_AT:1114P5329500,SE_AT:1114S5340500",False,False,False,60kv,em exploração,60kv,em exploração,6,1235.5863461194767,1.235586,"615634066,828396942,828396774,612753015,615446180,615634094","ATSEG_00011_615634066,ATSEG_02667_828396942,ATSEG_04226_828396774,ATSEG_05265_612753015,ATSEG_05267_615446180,ATSEG_05298_615634094",MultiLineString,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED
