trafo_id,hv_bus,lv_bus,facility_code,facility_name,hv_kv,lv_kv,sn_mva,transformation_ratio,matched_lut_rated_mva,uk_percent,vk_percent,vkr_percent,uk_value_status,r_x_split_status,tap_side,tap_neutral,tap_min,tap_max,tap_step_percent,tap_range_value_status,tap_position_status,unit_count_status,source_id,confidence,solver_ready,notes
TR_1105S5901100_60_10,1105S5901100_60,1105S5901100_10,1105S5901100,ABÓBODA,60.0,10.0,40.0,60/10,40.0,15.0,15.0,,SOURCE_BACKED,MISSING_OR_ASSUMED,hv,0,-11,11,1.5,SOURCE_BACKED,MISSING_ACTUAL_POSITION,MISSING,SRC_EREDES_DMAC52140,high,False,E-REDES 60 kV/MT uk% candidate match status: exact_installed_power_match. Installed power is not confirmed as individual transformer unit rating; vkr/RX split and actual tap position are missing.
TR_1105S5903300_60_10,1105S5903300_60,1105S5903300_10,1105S5903300,CASCAIS,60.0,10.0,40.0,60/10,40.0,15.0,15.0,,SOURCE_BACKED,MISSING_OR_ASSUMED,hv,0,-11,11,1.5,SOURCE_BACKED,MISSING_ACTUAL_POSITION,MISSING,SRC_EREDES_DMAC52140,high,False,E-REDES 60 kV/MT uk% candidate match status: exact_installed_power_match. Installed power is not confirmed as individual transformer unit rating; vkr/RX split and actual tap position are missing.
TR_1105S5376000_60_10,1105S5376000_60,1105S5376000_10,1105S5376000,ESTORIL,60.0,10.0,40.0,60/10,40.0,15.0,15.0,,SOURCE_BACKED,MISSING_OR_ASSUMED,hv,0,-11,11,1.5,SOURCE_BACKED,MISSING_ACTUAL_POSITION,MISSING,SRC_EREDES_DMAC52140,high,False,E-REDES 60 kV/MT uk% candidate match status: exact_installed_power_match. Installed power is not confirmed as individual transformer unit rating; vkr/RX split and actual tap position are missing.
TR_1106S5025800_60_10,1106S5025800_60,1106S5025800_10,1106S5025800,CENTRAL TEJO,60.0,10.0,80.0,60/10,40.0,15.0,15.0,,SCENARIO_ASSUMED,MISSING_OR_ASSUMED,hv,0,-11,11,1.5,SOURCE_BACKED,MISSING_ACTUAL_POSITION,MISSING,SRC_EREDES_DMAC52140,medium,False,E-REDES 60 kV/MT uk% candidate match status: nearest_rating_scenario_only_installed_power_is_not_unit_rating. Installed power is not confirmed as individual transformer unit rating; vkr/RX split and actual tap position are missing.
TR_1106S5431000_60_10,1106S5431000_60,1106S5431000_10,1106S5431000,ENTRECAMPOS,60.0,10.0,80.0,60/10,40.0,15.0,15.0,,SCENARIO_ASSUMED,MISSING_OR_ASSUMED,hv,0,-11,11,1.5,SOURCE_BACKED,MISSING_ACTUAL_POSITION,MISSING,SRC_EREDES_DMAC52140,medium,False,E-REDES 60 kV/MT uk% candidate match status: nearest_rating_scenario_only_installed_power_is_not_unit_rating. Installed power is not confirmed as individual transformer unit rating; vkr/RX split and actual tap position are missing.
TR_1106S5375000_60_10,1106S5375000_60,1106S5375000_10,1106S5375000,LUZ,60.0,10.0,80.0,60/10,40.0,15.0,15.0,,SCENARIO_ASSUMED,MISSING_OR_ASSUMED,hv,0,-11,11,1.5,SOURCE_BACKED,MISSING_ACTUAL_POSITION,MISSING,SRC_EREDES_DMAC52140,medium,False,E-REDES 60 kV/MT uk% candidate match status: nearest_rating_scenario_only_installed_power_is_not_unit_rating. Installed power is not confirmed as individual transformer unit rating; vkr/RX split and actual tap position are missing.
TR_1106S5902900_60_10,1106S5902900_60,1106S5902900_10,1106S5902900,MARVILA,60.0,10.0,80.0,60/10,40.0,15.0,15.0,,SCENARIO_ASSUMED,MISSING_OR_ASSUMED,hv,0,-11,11,1.5,SOURCE_BACKED,MISSING_ACTUAL_POSITION,MISSING,SRC_EREDES_DMAC52140,medium,False,E-REDES 60 kV/MT uk% candidate match status: nearest_rating_scenario_only_installed_power_is_not_unit_rating. Installed power is not confirmed as individual transformer unit rating; vkr/RX split and actual tap position are missing.
TR_1106S5064000_60_10,1106S5064000_60,1106S5064000_10,1106S5064000,SANTA MARTA,60.0,10.0,80.0,60/10,40.0,15.0,15.0,,SCENARIO_ASSUMED,MISSING_OR_ASSUMED,hv,0,-11,11,1.5,SOURCE_BACKED,MISSING_ACTUAL_POSITION,MISSING,SRC_EREDES_DMAC52140,medium,False,E-REDES 60 kV/MT uk% candidate match status: nearest_rating_scenario_only_installed_power_is_not_unit_rating. Installed power is not confirmed as individual transformer unit rating; vkr/RX split and actual tap position are missing.
TR_1106S5242000_60_10,1106S5242000_60,1106S5242000_10,1106S5242000,TELHEIRAS,60.0,10.0,80.0,60/10,40.0,15.0,15.0,,SCENARIO_ASSUMED,MISSING_OR_ASSUMED,hv,0,-11,11,1.5,SOURCE_BACKED,MISSING_ACTUAL_POSITION,MISSING,SRC_EREDES_DMAC52140,medium,False,E-REDES 60 kV/MT uk% candidate match status: nearest_rating_scenario_only_installed_power_is_not_unit_rating. Installed power is not confirmed as individual transformer unit rating; vkr/RX split and actual tap position are missing.
TR_1106S5183100_60_10,1106S5183100_60,1106S5183100_10,1106S5183100,ZAMBUJAL,60.0,10.0,80.0,60/10,40.0,15.0,15.0,,SCENARIO_ASSUMED,MISSING_OR_ASSUMED,hv,0,-11,11,1.5,SOURCE_BACKED,MISSING_ACTUAL_POSITION,MISSING,SRC_EREDES_DMAC52140,medium,False,E-REDES 60 kV/MT uk% candidate match status: nearest_rating_scenario_only_installed_power_is_not_unit_rating. Installed power is not confirmed as individual transformer unit rating; vkr/RX split and actual tap position are missing.
