generator_id,bus_id,assigned_bus_name,installation_code,installation_name,generation_type,dispatch_proxy_class,cost_class,pmax_mw_proxy,pmin_mw_proxy,marginal_cost_eur_per_mwh,must_run,curtailable,benchmark_usable,publication_allowed,notes
GENCAND_capacidade-rececao-rnd_1106S5099600_potencia_de_ligacao_ligado_mva_rari,419,1106S5099600_60,1106S5099600,NORTE,grid_connection_capacity_proxy,dispatchable_proxy,urban_injection_proxy,1.23504,0.0,110.0,False,True,True,False,Diagnostic expensive urban injection proxy; high cost discourages use unless needed.
GENCAND_capacidade-rececao-rnd_1106S5815000_potencia_de_ligacao_ligado_mva_rari,449,1106S5815000_60,1106S5815000,ALTO DO LUMIAR,grid_connection_capacity_proxy,dispatchable_proxy,urban_injection_proxy,0.8029200000000001,0.0,110.0,False,True,True,False,Diagnostic expensive urban injection proxy; high cost discourages use unless needed.
GENCAND_capacidade-rececao-rnd_1107P5728100_potencia_de_ligacao_ligado_mva_rari,458,1107P5728100_60,1107P5728100,FANHÕES (PS),grid_connection_capacity_proxy,import_interface_proxy,import_interface,63.0,0.0,95.0,False,True,True,False,Diagnostic import/interface penalty cost.
GENCAND_capacidade-rececao-rnd_1116S5903800_potencia_de_ligacao_ligado_mva_rari,544,1116S5903800_60,1116S5903800,CANEÇAS,grid_connection_capacity_proxy,dispatchable_proxy,urban_injection_proxy,0.16,0.0,110.0,False,True,True,False,Diagnostic expensive urban injection proxy; high cost discourages use unless needed.
GENCAND_capacidade-rececao-rnd_1109S5902500_potencia_de_ligacao_ligado_mva_rari,478,1109S5902500_60,1109S5902500,VENDA DO PINHEIRO,grid_connection_capacity_proxy,dispatchable_proxy,generic_dispatch_proxy,9.19772,0.0,85.0,False,True,True,False,Diagnostic generic dispatch proxy cost for connected capacity row.
GENCAND_capacidade-rececao-rnd_1106S5800000_potencia_de_ligacao_ligado_mva_rari,445,1106S5800000_60,1106S5800000,EXPO SUL,grid_connection_capacity_proxy,dispatchable_proxy,urban_injection_proxy,1.2227,0.0,110.0,False,True,True,False,Diagnostic expensive urban injection proxy; high cost discourages use unless needed.
GENCAND_capacidade-rececao-rnd_1106S5716600_potencia_de_ligacao_ligado_mva_rari,441,1106S5716600_60,1106S5716600,ARCO CARVALHÃO,grid_connection_capacity_proxy,dispatchable_proxy,generic_dispatch_proxy,0.54731,0.0,85.0,False,True,True,False,Diagnostic generic dispatch proxy cost for connected capacity row.
GENCAND_capacidade-rececao-rnd_1106S5244000_potencia_de_ligacao_ligado_mva_rari,431,1106S5244000_60,1106S5244000,PARQUE,grid_connection_capacity_proxy,dispatchable_proxy,urban_injection_proxy,0.08016,0.0,110.0,False,True,True,False,Diagnostic expensive urban injection proxy; high cost discourages use unless needed.
GENCAND_capacidade-rececao-rnd_1109S5905600_potencia_de_ligacao_ligado_mva_rari,480,1109S5905600_60,1109S5905600,GRADIL,grid_connection_capacity_proxy,dispatchable_proxy,generic_dispatch_proxy,8.08829,0.0,85.0,False,True,True,False,Diagnostic generic dispatch proxy cost for connected capacity row.
GENCAND_capacidade-rececao-rnd_1109S5430000_potencia_de_ligacao_ligado_mva_rari,474,1109S5430000_60,1109S5430000,MAFRA,grid_connection_capacity_proxy,dispatchable_proxy,generic_dispatch_proxy,22.709070000000004,0.0,85.0,False,True,True,False,Diagnostic generic dispatch proxy cost for connected capacity row.
GENCAND_capacidade-rececao-rnd_1106S5025800_potencia_de_ligacao_ligado_mva_rari,411,1106S5025800_60,1106S5025800,CENTRAL TEJO,grid_connection_capacity_proxy,dispatchable_proxy,thermal_proxy,3.2529400000000006,0.0,75.0,False,True,True,False,Diagnostic thermal proxy cost for a station explicitly labeled CENTRAL/TEJO.
GENCAND_capacidade-rececao-rnd_1106S5907000_potencia_de_ligacao_ligado_mva_rari,455,1106S5907000_60,1106S5907000,BOAVISTA (NOVA),grid_connection_capacity_proxy,dispatchable_proxy,urban_injection_proxy,0.80591,0.0,110.0,False,True,True,False,Diagnostic expensive urban injection proxy; high cost discourages use unless needed.
GENCAND_capacidade-rececao-rnd_1106S5478000_potencia_de_ligacao_ligado_mva_rari,439,1106S5478000_60,1106S5478000,AMOREIRAS,grid_connection_capacity_proxy,dispatchable_proxy,generic_dispatch_proxy,0.40745,0.0,85.0,False,True,True,False,Diagnostic generic dispatch proxy cost for connected capacity row.
GENCAND_capacidade-rececao-rnd_1106S5200200_potencia_de_ligacao_ligado_mva_rari,425,1106S5200200_60,1106S5200200,PRAÇA FIGUEIRA,grid_connection_capacity_proxy,dispatchable_proxy,generic_dispatch_proxy,0.19942,0.0,85.0,False,True,True,False,Diagnostic generic dispatch proxy cost for connected capacity row.
