line_id,line_name,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,max_i_ka,asset_type,in_service,source_scenario_id,parameterization_basis
4,ATPL_00012,453,409,5.034394,0.0469,0.105,308.0,0.599,cable,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic
5,ATPL_00013,408,429,5.095219,0.0469,0.105,308.0,0.599,cable,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic
10,ATPL_00049,408,415,4.701824,0.0469,0.105,308.0,0.599,cable,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic
11,ATPL_00050,409,421,0.830148,0.0469,0.105,308.0,0.599,cable,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic
12,ATPL_00051,409,441,8.639061,0.0469,0.105,308.0,0.599,cable,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic
13,ATPL_00052,409,455,5.814358,0.0469,0.105,308.0,0.599,cable,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic
14,ATPL_00053,411,409,11.657019,0.0469,0.105,308.0,0.599,cable,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic
16,ATPL_00063,478,480,10.484469,0.0949,0.38,9.2,0.74,overhead,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic
17,ATPL_00064,480,474,10.333461,0.0949,0.38,9.2,0.74,overhead,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic
20,ATPL_00075,407,542,3.765178,0.0709,0.2425,158.6,0.599,mixed,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic
22,ATPL_00089,407,427,6.666346,0.0469,0.105,308.0,0.599,cable,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic
23,ATPL_00090,445,409,6.280318,0.0469,0.105,308.0,0.599,cable,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic
25,ATPL_00120,410,433,0.309408,0.0469,0.105,308.0,0.599,cable,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic
26,ATPL_00121,407,433,7.376699,0.0469,0.105,308.0,0.599,cable,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic
27,ATPL_00139,419,408,1.731383,0.0469,0.105,308.0,0.599,cable,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic
28,ATPL_00140,415,408,4.697424,0.0469,0.105,308.0,0.599,cable,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic
29,ATPL_00141,407,421,9.269951,0.0469,0.105,308.0,0.599,cable,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic
30,ATPL_00142,431,407,8.445896,0.0469,0.105,308.0,0.599,cable,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic
31,ATPL_00143,439,408,3.096514,0.0469,0.105,308.0,0.599,cable,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic
