entity_type,entity_id,entity_name,publication_allowed,diagnostic_only,source_scenario_id,policy_class,repeated_bottleneck,trace_source_ids,assumption_ids
bus,407,1106P5397000_60,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,408,1106P5470000_60,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,409,1106P5906500_60,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,410,1106P5906600_60,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,411,1106S5025800_60,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,412,1106S5025800_10,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,415,1106S5064000_60,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,416,1106S5064000_10,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,417,1106S5072500_60,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,418,1106S5072500_10,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,419,1106S5099600_60,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,420,1106S5099600_10,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,421,1106S5140000_60,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,422,1106S5140000_10,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,425,1106S5200200_60,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,426,1106S5200200_10,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,427,1106S5200300_60,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,428,1106S5200300_10,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,429,1106S5242000_60,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,430,1106S5242000_10,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,431,1106S5244000_60,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,432,1106S5244000_10,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,433,1106S5275000_60,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,434,1106S5275000_10,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,435,1106S5375000_60,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,436,1106S5375000_10,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,437,1106S5431000_60,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,438,1106S5431000_10,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,439,1106S5478000_60,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,440,1106S5478000_10,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,441,1106S5716600_60,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,442,1106S5716600_10,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,443,1106S5728000_60,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,444,1106S5728000_10,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,445,1106S5800000_60,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,446,1106S5800000_10,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,449,1106S5815000_60,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,450,1106S5815000_10,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,453,1106S5902900_60,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,454,1106S5902900_10,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,455,1106S5907000_60,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,456,1106S5907000_10,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,458,1107P5728100_60,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,474,1109S5430000_60,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,475,1109S5430000_10,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,476,1109S5727400_60,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,478,1109S5902500_60,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,479,1109S5902500_10,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,480,1109S5905600_60,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,481,1109S5905600_10,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,542,1116S5340000_60,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,543,1116S5340000_10,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,544,1116S5903800_60,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
bus,545,1116S5903800_10,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,S16_BACKBONE_PACKAGED,
line,4,ATPL_00012,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,MIXED_CORRIDOR_POLICY_WEIGHTED;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281;SRC_EREDES_DMAC33281; SRC_ES_PRYSMIAN_VOLTALENE_RHZ1;SRC_PANDAPOWER_STD;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281,CABLE_RXC_BENCHMARK_CURRENT_SOURCE;CIRCUIT_COUNT_1_ASSUMPTION;MIXED_LINE_50_50_PROXY;OH_R_X_C_BENCHMARK
line,5,ATPL_00013,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,MIXED_CORRIDOR_POLICY_WEIGHTED;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281;SRC_EREDES_DMAC33281; SRC_ES_PRYSMIAN_VOLTALENE_RHZ1;SRC_PANDAPOWER_STD;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281,CABLE_RXC_BENCHMARK_CURRENT_SOURCE;CIRCUIT_COUNT_1_ASSUMPTION;MIXED_LINE_50_50_PROXY;OH_R_X_C_BENCHMARK
line,10,ATPL_00049,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,MIXED_CORRIDOR_POLICY_WEIGHTED;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281;SRC_EREDES_DMAC33281; SRC_ES_PRYSMIAN_VOLTALENE_RHZ1;SRC_PANDAPOWER_STD;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281,CABLE_RXC_BENCHMARK_CURRENT_SOURCE;CIRCUIT_COUNT_1_ASSUMPTION;MIXED_LINE_50_50_PROXY;OH_R_X_C_BENCHMARK
line,11,ATPL_00050,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,MIXED_CORRIDOR_POLICY_WEIGHTED;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281;SRC_EREDES_DMAC33281; SRC_ES_PRYSMIAN_VOLTALENE_RHZ1;SRC_PANDAPOWER_STD;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281,CABLE_RXC_BENCHMARK_CURRENT_SOURCE;CIRCUIT_COUNT_1_ASSUMPTION;MIXED_LINE_50_50_PROXY;OH_R_X_C_BENCHMARK
line,12,ATPL_00051,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,MIXED_CORRIDOR_POLICY_WEIGHTED;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281;SRC_EREDES_DMAC33281; SRC_ES_PRYSMIAN_VOLTALENE_RHZ1;SRC_PANDAPOWER_STD;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281,CABLE_RXC_BENCHMARK_CURRENT_SOURCE;CIRCUIT_COUNT_1_ASSUMPTION;MIXED_LINE_50_50_PROXY;OH_R_X_C_BENCHMARK
line,13,ATPL_00052,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,MIXED_CORRIDOR_POLICY_WEIGHTED;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281;SRC_EREDES_DMAC33281; SRC_ES_PRYSMIAN_VOLTALENE_RHZ1;SRC_PANDAPOWER_STD;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281,CABLE_RXC_BENCHMARK_CURRENT_SOURCE;CIRCUIT_COUNT_1_ASSUMPTION;MIXED_LINE_50_50_PROXY;OH_R_X_C_BENCHMARK
line,14,ATPL_00053,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,MIXED_CORRIDOR_POLICY_WEIGHTED;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281;SRC_EREDES_DMAC33281; SRC_ES_PRYSMIAN_VOLTALENE_RHZ1;SRC_PANDAPOWER_STD;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281,CABLE_RXC_BENCHMARK_CURRENT_SOURCE;CIRCUIT_COUNT_1_ASSUMPTION;MIXED_LINE_50_50_PROXY;OH_R_X_C_BENCHMARK
line,16,ATPL_00063,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,MIXED_CORRIDOR_POLICY_WEIGHTED;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281;SRC_EREDES_DMAC33281; SRC_ES_PRYSMIAN_VOLTALENE_RHZ1;SRC_PANDAPOWER_STD;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281,CABLE_RXC_BENCHMARK_CURRENT_SOURCE;CIRCUIT_COUNT_1_ASSUMPTION;MIXED_LINE_50_50_PROXY;OH_R_X_C_BENCHMARK
line,17,ATPL_00064,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,MIXED_CORRIDOR_POLICY_WEIGHTED;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281;SRC_EREDES_DMAC33281; SRC_ES_PRYSMIAN_VOLTALENE_RHZ1;SRC_PANDAPOWER_STD;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281,CABLE_RXC_BENCHMARK_CURRENT_SOURCE;CIRCUIT_COUNT_1_ASSUMPTION;MIXED_LINE_50_50_PROXY;OH_R_X_C_BENCHMARK
line,20,ATPL_00075,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,MIXED_WEIGHTED_ALLOWED,True,MIXED_CORRIDOR_POLICY_WEIGHTED;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281;SRC_EREDES_DMAC33281; SRC_ES_PRYSMIAN_VOLTALENE_RHZ1;SRC_PANDAPOWER_STD;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281,CABLE_RXC_BENCHMARK_CURRENT_SOURCE;CIRCUIT_COUNT_1_ASSUMPTION;MIXED_LINE_50_50_PROXY;OH_R_X_C_BENCHMARK
line,22,ATPL_00089,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,MIXED_CORRIDOR_POLICY_WEIGHTED;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281;SRC_EREDES_DMAC33281; SRC_ES_PRYSMIAN_VOLTALENE_RHZ1;SRC_PANDAPOWER_STD;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281,CABLE_RXC_BENCHMARK_CURRENT_SOURCE;CIRCUIT_COUNT_1_ASSUMPTION;MIXED_LINE_50_50_PROXY;OH_R_X_C_BENCHMARK
line,23,ATPL_00090,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,MIXED_CORRIDOR_POLICY_WEIGHTED;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281;SRC_EREDES_DMAC33281; SRC_ES_PRYSMIAN_VOLTALENE_RHZ1;SRC_PANDAPOWER_STD;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281,CABLE_RXC_BENCHMARK_CURRENT_SOURCE;CIRCUIT_COUNT_1_ASSUMPTION;MIXED_LINE_50_50_PROXY;OH_R_X_C_BENCHMARK
line,25,ATPL_00120,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,MIXED_CORRIDOR_POLICY_WEIGHTED;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281;SRC_EREDES_DMAC33281; SRC_ES_PRYSMIAN_VOLTALENE_RHZ1;SRC_PANDAPOWER_STD;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281,CABLE_RXC_BENCHMARK_CURRENT_SOURCE;CIRCUIT_COUNT_1_ASSUMPTION;MIXED_LINE_50_50_PROXY;OH_R_X_C_BENCHMARK
line,26,ATPL_00121,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,,False,MIXED_CORRIDOR_POLICY_WEIGHTED;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281;SRC_EREDES_DMAC33281; SRC_ES_PRYSMIAN_VOLTALENE_RHZ1;SRC_PANDAPOWER_STD;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281,CABLE_RXC_BENCHMARK_CURRENT_SOURCE;CIRCUIT_COUNT_1_ASSUMPTION;MIXED_LINE_50_50_PROXY;OH_R_X_C_BENCHMARK
