sample_id,sample_type,line_id,line_name,scenario_family,variant_id,scenario_value,metric_max_loading_percent,over_80_loading_flag,over_100_loading_flag,top_congested_flag,binding_under_internal_dispatch_flag,asset_type,from_bus,to_bus,source_scenario_id,bottleneck_persistence_count,edge_id,source_node_id,target_node_id,policy_class,repeated_bottleneck,publication_allowed,prov_diagnostic_only,diagnostic_only
line|S20_STRICT_INTERNAL_DCOPF|limited_import_10pct|20|0.1,line_risk,20,ATPL_00075,S20_STRICT_INTERNAL_DCOPF,limited_import_10pct,0.1,46.85982977949391,False,False,True,False,mixed,407,542,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,15,20,407,542,MIXED_WEIGHTED_ALLOWED,True,False,True,True
line|S20_STRICT_INTERNAL_DCOPF|limited_import_10pct|20|0.2,line_risk,20,ATPL_00075,S20_STRICT_INTERNAL_DCOPF,limited_import_10pct,0.2,93.71965955777743,True,False,True,False,mixed,407,542,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,15,20,407,542,MIXED_WEIGHTED_ALLOWED,True,False,True,True
line|S20_STRICT_INTERNAL_DCOPF|limited_import_10pct|20|0.3,line_risk,20,ATPL_00075,S20_STRICT_INTERNAL_DCOPF,limited_import_10pct,0.3,140.57948933606167,True,True,True,True,mixed,407,542,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,15,20,407,542,MIXED_WEIGHTED_ALLOWED,True,False,True,True
line|S20_STRICT_INTERNAL_DCOPF|limited_import_20pct|20|0.1,line_risk,20,ATPL_00075,S20_STRICT_INTERNAL_DCOPF,limited_import_20pct,0.1,46.85982977956464,False,False,True,False,mixed,407,542,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,15,20,407,542,MIXED_WEIGHTED_ALLOWED,True,False,True,True
line|S20_STRICT_INTERNAL_DCOPF|limited_import_20pct|20|0.2,line_risk,20,ATPL_00075,S20_STRICT_INTERNAL_DCOPF,limited_import_20pct,0.2,93.71965955784842,True,False,True,False,mixed,407,542,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,15,20,407,542,MIXED_WEIGHTED_ALLOWED,True,False,True,True
line|S20_STRICT_INTERNAL_DCOPF|limited_import_20pct|20|0.3,line_risk,20,ATPL_00075,S20_STRICT_INTERNAL_DCOPF,limited_import_20pct,0.3,140.5794893361331,True,True,True,True,mixed,407,542,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,15,20,407,542,MIXED_WEIGHTED_ALLOWED,True,False,True,True
line|S20_STRICT_INTERNAL_DCOPF|no_import|20|0.1,line_risk,20,ATPL_00075,S20_STRICT_INTERNAL_DCOPF,no_import,0.1,46.85982977947673,False,False,True,False,mixed,407,542,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,15,20,407,542,MIXED_WEIGHTED_ALLOWED,True,False,True,True
line|S20_STRICT_INTERNAL_DCOPF|no_import|20|0.2,line_risk,20,ATPL_00075,S20_STRICT_INTERNAL_DCOPF,no_import,0.2,93.71965955776038,True,False,True,False,mixed,407,542,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,15,20,407,542,MIXED_WEIGHTED_ALLOWED,True,False,True,True
line|S20_STRICT_INTERNAL_DCOPF|no_import|20|0.3,line_risk,20,ATPL_00075,S20_STRICT_INTERNAL_DCOPF,no_import,0.3,140.5794893360448,True,True,True,True,mixed,407,542,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,15,20,407,542,MIXED_WEIGHTED_ALLOWED,True,False,True,True
line|S20_STRICT_INTERNAL_DCOPF|penalty_import|20|0.1,line_risk,20,ATPL_00075,S20_STRICT_INTERNAL_DCOPF,penalty_import,0.1,46.8598297795816,False,False,True,False,mixed,407,542,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,15,20,407,542,MIXED_WEIGHTED_ALLOWED,True,False,True,True
line|S20_STRICT_INTERNAL_DCOPF|penalty_import|20|0.2,line_risk,20,ATPL_00075,S20_STRICT_INTERNAL_DCOPF,penalty_import,0.2,93.71965955786553,True,False,True,False,mixed,407,542,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,15,20,407,542,MIXED_WEIGHTED_ALLOWED,True,False,True,True
line|S20_STRICT_INTERNAL_DCOPF|penalty_import|20|0.3,line_risk,20,ATPL_00075,S20_STRICT_INTERNAL_DCOPF,penalty_import,0.3,140.57948933614912,True,True,True,True,mixed,407,542,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,15,20,407,542,MIXED_WEIGHTED_ALLOWED,True,False,True,True
line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|4|0.1,line_risk,4,ATPL_00012,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,2.5302447836501116,False,False,False,False,cable,453,409,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0,4,453,409,,False,False,True,True
line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|5|0.1,line_risk,5,ATPL_00013,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,7.237746126111324,False,False,False,False,cable,408,429,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0,5,408,429,,False,False,True,True
line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|10|0.1,line_risk,10,ATPL_00049,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,1.5447206429117817,False,False,False,False,cable,408,415,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0,10,408,415,,False,False,True,True
line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|11|0.1,line_risk,11,ATPL_00050,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,4.774217415789586,False,False,False,False,cable,409,421,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0,11,409,421,,False,False,True,True
line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|12|0.1,line_risk,12,ATPL_00051,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,0.8696224303035117,False,False,False,False,cable,409,441,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0,12,409,441,,False,False,True,True
line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|13|0.1,line_risk,13,ATPL_00052,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,2.701650664295004,False,False,False,False,cable,409,455,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0,13,409,455,,False,False,True,True
line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|14|0.1,line_risk,14,ATPL_00053,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,2.196814559647658,False,False,False,False,cable,411,409,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0,14,411,409,,False,False,True,True
line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|16|0.1,line_risk,16,ATPL_00063,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,31.07772459183693,False,False,False,False,overhead,478,480,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0,16,478,480,,False,False,True,True
line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|17|0.1,line_risk,17,ATPL_00064,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,24.464361789509677,False,False,False,False,overhead,480,474,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0,17,480,474,,False,False,True,True
line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|20|0.1,line_risk,20,ATPL_00075,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,39.649272229746,False,False,False,False,mixed,407,542,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,15,20,407,542,MIXED_WEIGHTED_ALLOWED,True,False,True,True
line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|22|0.1,line_risk,22,ATPL_00089,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,1.8978716215882283,False,False,False,False,cable,407,427,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0,22,407,427,,False,False,True,True
line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|23|0.1,line_risk,23,ATPL_00090,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,2.608758957795615,False,False,False,False,cable,445,409,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0,23,445,409,,False,False,True,True
line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|25|0.1,line_risk,25,ATPL_00120,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,2.600035252626787,False,False,False,False,cable,410,433,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0,25,410,433,,False,False,True,True
line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|26|0.1,line_risk,26,ATPL_00121,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,5.221364511131628,False,False,False,False,cable,407,433,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0,26,407,433,,False,False,True,True
