table_name,column_name,semantic_role,feature_type,admissible_as_model_input,target_only,split_control_only,provenance_only,leakage_sensitive_or_forbidden,notes
pt_stage5_graph_node_adapter.csv,adapter_view,identifier,object,False,False,True,False,False,
pt_stage5_graph_node_adapter.csv,adapter_entity_type,identifier,object,False,False,True,False,False,
pt_stage5_graph_node_adapter.csv,node_id,identifier,object,False,False,True,False,False,
pt_stage5_graph_node_adapter.csv,node_type,feature,object,True,False,False,False,False,
pt_stage5_graph_node_adapter.csv,bus_id,identifier,object,False,False,True,False,False,
pt_stage5_graph_node_adapter.csv,bus_name,feature,object,True,False,False,False,False,
pt_stage5_graph_node_adapter.csv,voltage_kv,feature,float64,True,False,False,False,False,
pt_stage5_graph_node_adapter.csv,zone,feature,object,True,False,False,False,False,
pt_stage5_graph_node_adapter.csv,in_service,feature,bool,True,False,False,False,False,
pt_stage5_graph_node_adapter.csv,min_vm_pu,feature,float64,True,False,False,False,False,
pt_stage5_graph_node_adapter.csv,max_vm_pu,feature,float64,True,False,False,False,False,
pt_stage5_graph_node_adapter.csv,source_scenario_id,provenance,object,False,False,False,True,True,forbidden_for_naive_training
pt_stage5_graph_node_adapter.csv,benchmark_role,split_or_control,object,False,False,True,False,True,forbidden_for_naive_training
pt_stage5_graph_node_adapter.csv,degree_total,feature,float64,True,False,False,False,False,
pt_stage5_graph_node_adapter.csv,incident_line_count,feature,float64,True,False,False,False,False,
pt_stage5_graph_node_adapter.csv,incident_total_length_km,feature,float64,True,False,False,False,False,
pt_stage5_graph_node_adapter.csv,incident_cable_count,feature,float64,True,False,False,False,False,
pt_stage5_graph_node_adapter.csv,incident_overhead_count,feature,float64,True,False,False,False,False,
pt_stage5_graph_node_adapter.csv,incident_mixed_count,feature,float64,True,False,False,False,False,
pt_stage5_graph_node_adapter.csv,has_policy_governed_incident_line,feature,bool,True,False,False,False,False,
pt_stage5_graph_node_adapter.csv,has_parallel_equivalent_required_incident_line,feature,bool,True,False,False,False,False,
pt_stage5_graph_node_adapter.csv,connected_load_count,feature,float64,True,False,False,False,False,
pt_stage5_graph_node_adapter.csv,connected_load_p_mw,feature,float64,True,False,False,False,False,
pt_stage5_graph_node_adapter.csv,connected_load_q_mvar,feature,float64,True,False,False,False,False,
pt_stage5_graph_node_adapter.csv,connected_generator_count,feature,float64,True,False,False,False,False,
pt_stage5_graph_node_adapter.csv,connected_generator_pmax_mw,feature,float64,True,False,False,False,False,
pt_stage5_graph_node_adapter.csv,connected_dispatchable_proxy_count,feature,float64,True,False,False,False,False,
pt_stage5_graph_node_adapter.csv,connected_import_proxy_count,feature,float64,True,False,False,False,False,
pt_stage5_graph_node_adapter.csv,prov_publication_allowed,provenance,bool,False,False,False,True,True,forbidden_for_naive_training
pt_stage5_graph_node_adapter.csv,prov_diagnostic_only,provenance,bool,False,False,False,True,True,forbidden_for_naive_training
pt_stage5_graph_node_adapter.csv,prov_source_scenario_id,provenance,object,False,False,False,True,True,forbidden_for_naive_training
pt_stage5_graph_node_adapter.csv,prov_trace_source_ids,provenance,object,False,False,False,True,True,forbidden_for_naive_training
pt_stage5_graph_node_adapter.csv,prov_assumption_ids,provenance,float64,False,False,False,True,True,forbidden_for_naive_training
pt_stage5_graph_node_adapter.csv,stage4_benchmark_eligible,split_or_control,bool,False,False,True,False,True,forbidden_for_naive_training
pt_stage5_graph_node_adapter.csv,stage4_exclusion_reason,split_or_control,float64,False,False,True,False,True,forbidden_for_naive_training
pt_stage5_graph_node_adapter.csv,governance_sensitive_flag,split_or_control,bool,False,False,True,False,True,forbidden_for_naive_training
pt_stage5_graph_node_adapter.csv,leakage_group_id,split_or_control,object,False,False,True,False,True,forbidden_for_naive_training
pt_stage5_graph_node_adapter.csv,source_release_id,provenance,object,False,False,False,True,True,forbidden_for_naive_training
pt_stage5_graph_edge_adapter.csv,adapter_view,identifier,object,False,False,True,False,False,
pt_stage5_graph_edge_adapter.csv,adapter_entity_type,identifier,object,False,False,True,False,False,
pt_stage5_graph_edge_adapter.csv,edge_id,identifier,object,False,False,True,False,False,
pt_stage5_graph_edge_adapter.csv,edge_type,feature,object,True,False,False,False,False,
pt_stage5_graph_edge_adapter.csv,source_node_id,identifier,object,False,False,True,False,False,
