dataset_version,relative_path,file_group,file_format,field_count,bytes,schema_generated,principal_core_schema,source_or_derivation
v1.0.0,archive_validation_summary.json,release_control,json,11,383,True,False,Release-control or manuscript-support artifact.
v1.0.0,core_topology/at_circuit_classification.csv,core_topology,csv,29,1617168,True,True,Derived from public E-REDES source records by the frozen PT60 fail-closed reconstruction pipeline.
v1.0.0,core_topology/at_endpoint_facility_membership_summary.csv,core_topology,csv,10,833,True,False,Derived from public E-REDES source records by the frozen PT60 fail-closed reconstruction pipeline.
v1.0.0,core_topology/at_endpoint_index.csv,core_topology,csv,13,11827927,True,False,Derived from public E-REDES source records by the frozen PT60 fail-closed reconstruction pipeline.
v1.0.0,core_topology/at_endpoint_index_summary.csv,core_topology,csv,9,475,True,False,Derived from public E-REDES source records by the frozen PT60 fail-closed reconstruction pipeline.
v1.0.0,core_topology/at_facility_footprints_summary.csv,core_topology,csv,6,380,True,False,Derived from public E-REDES source records by the frozen PT60 fail-closed reconstruction pipeline.
v1.0.0,core_topology/at_interfacility_candidate_branches.csv,core_topology,csv,24,2019653,True,True,Derived from public E-REDES source records by the frozen PT60 fail-closed reconstruction pipeline.
v1.0.0,core_topology/at_paper_logic_graph.graphml,core_topology,graphml,16,339272,True,True,Derived from public E-REDES source records by the frozen PT60 fail-closed reconstruction pipeline.
v1.0.0,core_topology/at_paper_logic_parameter_sweep.csv,core_topology,csv,26,36882,True,True,Derived from public E-REDES source records by the frozen PT60 fail-closed reconstruction pipeline.
v1.0.0,core_topology/at_paper_logic_summary.json,core_topology,json,98,8133,True,False,Derived from public E-REDES source records by the frozen PT60 fail-closed reconstruction pipeline.
v1.0.0,core_topology/at_parameter_availability_matrix.csv,core_topology,csv,12,6095,True,False,Derived from public E-REDES source records by the frozen PT60 fail-closed reconstruction pipeline.
v1.0.0,core_topology/at_parameter_feasibility_summary.json,core_topology,json,67,7927,True,False,Derived from public E-REDES source records by the frozen PT60 fail-closed reconstruction pipeline.
v1.0.0,core_topology/at_voltage_class_inventory.csv,core_topology,csv,13,439,True,False,Derived from public E-REDES source records by the frozen PT60 fail-closed reconstruction pipeline.
v1.0.0,excluded_artifacts.json,release_control,json,8,1383,True,False,Release-control or manuscript-support artifact.
v1.0.0,inventory/headline_counts.json,release_control,json,48,6385,True,False,Release-control or manuscript-support artifact.
v1.0.0,manifest.json,release_control,json,24,217523,True,False,Release-control or manuscript-support artifact.
v1.0.0,manuscript/figure_manifest.csv,manuscript_support,csv,21,9145,True,False,Release-control or manuscript-support artifact.
v1.0.0,optional_diagnostic/load_validation/pt_load_allocation_validation.csv,optional_diagnostic,csv,16,9356,True,False,"Optional diagnostic artifact; not evidence of AC power-flow, OPF, protection, or operational readiness."
v1.0.0,optional_diagnostic/load_validation/pt_load_depth_summary.csv,optional_diagnostic,csv,4,198,True,False,"Optional diagnostic artifact; not evidence of AC power-flow, OPF, protection, or operational readiness."
v1.0.0,optional_diagnostic/load_validation/pt_load_reallocation_suggestions.csv,optional_diagnostic,csv,8,2935,True,False,"Optional diagnostic artifact; not evidence of AC power-flow, OPF, protection, or operational readiness."
v1.0.0,optional_diagnostic/load_validation/pt_load_validation_summary.json,optional_diagnostic,json,10,324,True,False,"Optional diagnostic artifact; not evidence of AC power-flow, OPF, protection, or operational readiness."
v1.0.0,optional_diagnostic/load_validation/pt_transformer_load_validation.csv,optional_diagnostic,csv,10,5303,True,False,"Optional diagnostic artifact; not evidence of AC power-flow, OPF, protection, or operational readiness."
v1.0.0,optional_diagnostic/lut_scenarios/pt_line_lut_scenarios.csv,optional_diagnostic,csv,16,23642,True,False,"Optional diagnostic artifact; not evidence of AC power-flow, OPF, protection, or operational readiness."
v1.0.0,optional_diagnostic/lut_scenarios/pt_lut_gap_status.csv,optional_diagnostic,csv,4,1228,True,False,"Optional diagnostic artifact; not evidence of AC power-flow, OPF, protection, or operational readiness."
v1.0.0,optional_diagnostic/lut_scenarios/pt_lut_scenario_definitions.csv,optional_diagnostic,csv,5,1098,True,False,"Optional diagnostic artifact; not evidence of AC power-flow, OPF, protection, or operational readiness."
v1.0.0,optional_diagnostic/lut_scenarios/pt_lut_scenarios_summary.json,optional_diagnostic,json,17,675,True,False,"Optional diagnostic artifact; not evidence of AC power-flow, OPF, protection, or operational readiness."
v1.0.0,optional_diagnostic/lut_scenarios/pt_transformer_lut_scenarios.csv,optional_diagnostic,csv,18,3386,True,False,"Optional diagnostic artifact; not evidence of AC power-flow, OPF, protection, or operational readiness."
v1.0.0,optional_diagnostic/pandapower_schema/pt_bus_table_candidate.csv,optional_diagnostic,csv,16,267770,True,False,"Optional diagnostic artifact; not evidence of AC power-flow, OPF, protection, or operational readiness."
v1.0.0,optional_diagnostic/pandapower_schema/pt_ext_grid_table_candidate.csv,optional_diagnostic,csv,13,18081,True,False,"Optional diagnostic artifact; not evidence of AC power-flow, OPF, protection, or operational readiness."
v1.0.0,optional_diagnostic/pandapower_schema/pt_line_table_candidate.csv,optional_diagnostic,csv,46,264621,True,False,"Optional diagnostic artifact; not evidence of AC power-flow, OPF, protection, or operational readiness."
v1.0.0,optional_diagnostic/pandapower_schema/pt_load_table_candidate.csv,optional_diagnostic,csv,16,269818,True,False,"Optional diagnostic artifact; not evidence of AC power-flow, OPF, protection, or operational readiness."
v1.0.0,optional_diagnostic/pandapower_schema/pt_parameter_status_matrix.csv,optional_diagnostic,csv,9,1667,True,False,"Optional diagnostic artifact; not evidence of AC power-flow, OPF, protection, or operational readiness."
v1.0.0,optional_diagnostic/pandapower_schema/pt_parameterization_scenarios.csv,optional_diagnostic,csv,8,1573,True,False,"Optional diagnostic artifact; not evidence of AC power-flow, OPF, protection, or operational readiness."
v1.0.0,optional_diagnostic/pandapower_schema/pt_schema_summary.json,optional_diagnostic,json,44,1674,True,False,"Optional diagnostic artifact; not evidence of AC power-flow, OPF, protection, or operational readiness."
v1.0.0,optional_diagnostic/pandapower_schema/pt_sgen_table_candidate.csv,optional_diagnostic,csv,12,112,True,False,"Optional diagnostic artifact; not evidence of AC power-flow, OPF, protection, or operational readiness."
v1.0.0,optional_diagnostic/pandapower_schema/pt_solver_readiness_matrix.csv,optional_diagnostic,csv,7,2219,True,False,"Optional diagnostic artifact; not evidence of AC power-flow, OPF, protection, or operational readiness."
v1.0.0,optional_diagnostic/pandapower_schema/pt_trafo_table_candidate.csv,optional_diagnostic,csv,27,179595,True,False,"Optional diagnostic artifact; not evidence of AC power-flow, OPF, protection, or operational readiness."
v1.0.0,optional_interfaces/stage1/pt_dataset_benchmark_summaries.csv,optional_interface,csv,17,1879,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage1/pt_dataset_buses.csv,optional_interface,csv,9,5875,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage1/pt_dataset_generator_assignment.csv,optional_interface,csv,19,509378,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage1/pt_dataset_generator_costs.csv,optional_interface,csv,15,5639,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage1/pt_dataset_generator_dispatch_proxy.csv,optional_interface,csv,24,605399,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage1/pt_dataset_generators.csv,optional_interface,csv,16,5828,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage1/pt_dataset_line_policy.csv,optional_interface,csv,11,2058,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage1/pt_dataset_lines.csv,optional_interface,csv,13,4623,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage1/pt_dataset_loads.csv,optional_interface,csv,8,2786,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage1/pt_dataset_manifest.json,optional_interface,json,29,2388,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage1/pt_dataset_pipeline_status.json,optional_interface,json,6,281,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage1/pt_dataset_validation_summary.json,optional_interface,json,17,561,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage2/pt_stage2_bus_features.csv,optional_interface,csv,24,10502,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage2/pt_stage2_generator_features.csv,optional_interface,csv,23,7290,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage2/pt_stage2_generator_risk_targets.csv,optional_interface,csv,13,27061,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage2/pt_stage2_line_features.csv,optional_interface,csv,36,10370,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage2/pt_stage2_line_risk_targets.csv,optional_interface,csv,15,26693,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage2/pt_stage2_manifest.json,optional_interface,json,27,3133,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage2/pt_stage2_pipeline_status.json,optional_interface,json,6,281,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage2/pt_stage2_provenance_flags.csv,optional_interface,csv,10,23013,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage2/pt_stage2_validation_summary.json,optional_interface,json,15,550,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage3/pt_stage3_generator_bus_links.csv,optional_interface,csv,14,7909,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage3/pt_stage3_generator_nodes.csv,optional_interface,csv,30,11074,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage3/pt_stage3_generator_risk_samples.csv,optional_interface,csv,20,51479,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
