facility_node_set,facility_buffer_m,endpoints_inside_facility,endpoint_facility_match_rate_pct,ambiguous_endpoint_matches,endpoints_not_in_any_facility,lines_both_endpoints_in_facilities,lines_one_endpoint_in_facility,lines_no_endpoints_in_facility,lines_both_endpoints_same_facility
A,50,1668,15.6355,18,9000,294,1080,3960,274
A,100,2100,19.685,35,8568,459,1182,3693,430
A,250,2496,23.3971,73,8172,657,1182,3495,616
A,500,3156,29.5838,114,7512,988,1180,3166,927
B,50,2319,21.7379,92,8349,492,1335,3507,449
B,100,2879,26.9873,127,7789,712,1455,3167,651
B,250,3415,32.0116,200,7253,993,1429,2912,901
B,500,4275,40.0731,314,6393,1464,1347,2523,1304
C,50,2324,21.7848,114,8344,493,1338,3503,450
C,100,2883,27.0247,159,7785,713,1457,3164,651
C,250,3431,32.1616,244,7237,1001,1429,2904,902
C,500,4326,40.5512,405,6342,1490,1346,2498,1310
