facility_node_set,facility_buffer_m,endpoint_snap_threshold_m,merge_mode,raw_line_features,merged_circuits,reduction_percentage,inter_facility_circuits,self_loops,single_facility,isolated,tap_multi_terminal,ambiguous,loop,clean_branch_count,graph_nodes,graph_edges,connected_components,largest_component_size,isolated_nodes,mixed_voltage_circuits,mixed_status_circuits,suspicious_matches,strategy_score,recommended_yes_no,reason
A,50,0.5,geometry-only,5334,1340,74.8781,180,37,571,428,108,11,5,180,231,180,64,15,0,0,1,10,17690,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,50,0.5,voltage-aware,5334,1340,74.8781,180,37,571,428,108,11,5,180,231,180,64,15,0,0,1,10,17690,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,50,0.5,voltage-status-aware,5334,1341,74.8594,180,37,571,430,108,10,5,180,231,180,64,15,0,0,0,10,17750,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,50,1.0,geometry-only,5334,1234,76.8654,157,30,497,402,122,18,8,157,209,157,60,14,0,0,9,9,14960,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,50,1.0,voltage-aware,5334,1234,76.8654,157,30,497,402,122,18,8,157,209,157,60,14,0,0,9,9,14960,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,50,1.0,voltage-status-aware,5334,1247,76.6217,157,32,506,408,127,9,8,157,209,157,60,14,0,0,0,9,15500,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,50,5.0,geometry-only,5334,877,83.5583,101,16,290,247,146,49,28,101,155,101,57,6,0,0,40,9,7100,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,50,5.0,voltage-aware,5334,877,83.5583,101,16,290,247,146,49,28,101,155,101,57,6,0,0,40,9,7100,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,50,5.0,voltage-status-aware,5334,942,82.3397,102,20,316,292,171,9,32,102,156,102,57,6,0,0,0,9,9600,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,50,10.0,geometry-only,5334,440,91.751,37,13,112,133,67,41,37,37,64,37,27,7,0,0,37,5,1380,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,50,10.0,voltage-aware,5334,440,91.751,37,13,112,133,67,41,37,37,64,37,27,7,0,0,37,5,1380,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,50,10.0,voltage-status-aware,5334,515,90.345,40,15,133,182,97,5,43,40,69,40,29,7,0,0,0,5,3850,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,50,25.0,geometry-only,5334,126,97.6378,3,1,9,68,13,8,24,3,6,3,3,2,0,0,7,1,-120,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,50,25.0,voltage-aware,5334,126,97.6378,3,1,9,68,13,8,24,3,6,3,3,2,0,0,7,1,-120,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,50,25.0,voltage-status-aware,5334,200,96.2505,3,2,28,108,21,1,37,3,6,3,3,2,0,0,0,1,300,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,50,50.0,geometry-only,5334,79,98.5189,1,0,1,56,3,4,14,1,2,1,1,2,0,1,3,1,-430,no,moderate facility buffer
A,50,50.0,voltage-aware,5334,80,98.5002,1,0,1,56,3,5,14,1,2,1,1,2,0,0,4,1,-390,no,no mixed-voltage circuits; moderate facility buffer
A,50,50.0,voltage-status-aware,5334,151,97.1691,1,1,16,92,7,1,33,1,2,1,1,2,0,0,0,1,-150,no,no mixed-voltage circuits; moderate facility buffer
A,100,0.5,geometry-only,5334,1340,74.8781,221,51,565,373,107,18,5,221,260,221,60,14,0,0,1,17,21040,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,100,0.5,voltage-aware,5334,1340,74.8781,221,51,565,373,107,18,5,221,260,221,60,14,0,0,1,17,21040,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,100,0.5,voltage-status-aware,5334,1341,74.8594,221,51,565,375,107,17,5,221,260,221,60,14,0,0,0,17,21100,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,100,1.0,geometry-only,5334,1234,76.8654,192,44,494,350,121,25,8,192,240,192,61,11,0,0,9,16,17610,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,100,1.0,voltage-aware,5334,1234,76.8654,192,44,494,350,121,25,8,192,240,192,61,11,0,0,9,16,17610,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,100,1.0,voltage-status-aware,5334,1247,76.6217,192,46,503,356,126,16,8,192,240,192,61,11,0,0,0,16,18150,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,100,5.0,geometry-only,5334,877,83.5583,119,21,297,211,145,56,28,119,178,119,62,6,0,0,40,16,8200,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,100,5.0,voltage-aware,5334,877,83.5583,119,21,297,211,145,56,28,119,178,119,62,6,0,0,40,16,8200,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,100,5.0,voltage-status-aware,5334,942,82.3397,122,26,324,252,170,16,32,122,182,122,63,6,0,0,0,16,10900,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,100,10.0,geometry-only,5334,440,91.751,44,19,108,121,65,46,37,44,76,44,32,7,0,0,37,11,1530,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,100,10.0,voltage-aware,5334,440,91.751,44,19,108,121,65,46,37,44,76,44,32,7,0,0,37,11,1530,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,100,10.0,voltage-status-aware,5334,515,90.345,48,23,130,166,94,11,43,48,83,48,35,7,0,0,0,11,4050,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,100,25.0,geometry-only,5334,126,97.6378,5,1,9,66,13,8,24,5,10,5,5,2,0,0,7,2,30,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,100,25.0,voltage-aware,5334,126,97.6378,5,1,9,66,13,8,24,5,10,5,5,2,0,0,7,2,30,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,100,25.0,voltage-status-aware,5334,200,96.2505,6,5,28,102,20,2,37,6,12,6,6,2,0,0,0,2,500,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,100,50.0,geometry-only,5334,79,98.5189,1,0,2,55,3,4,14,1,2,1,1,2,0,1,3,1,-430,no,moderate facility buffer
A,100,50.0,voltage-aware,5334,80,98.5002,1,0,2,55,3,5,14,1,2,1,1,2,0,0,4,1,-390,no,no mixed-voltage circuits; moderate facility buffer
A,100,50.0,voltage-status-aware,5334,151,97.1691,1,2,18,89,7,1,33,1,2,1,1,2,0,0,0,1,-150,no,no mixed-voltage circuits; moderate facility buffer
A,250,0.5,geometry-only,5334,1340,74.8781,229,73,550,347,105,31,5,229,264,229,60,11,0,0,1,30,20390,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,250,0.5,voltage-aware,5334,1340,74.8781,229,73,550,347,105,31,5,229,264,229,60,11,0,0,1,30,20390,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,250,0.5,voltage-status-aware,5334,1341,74.8594,229,73,550,349,105,30,5,229,264,229,60,11,0,0,0,30,20450,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,250,1.0,geometry-only,5334,1234,76.8654,202,66,479,324,119,36,8,202,247,202,63,10,0,0,9,27,17460,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,250,1.0,voltage-aware,5334,1234,76.8654,202,66,479,324,119,36,8,202,247,202,63,10,0,0,9,27,17460,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
