generator_id,source_id,name,generation_source,bus_id,p_mw,q_mvar,p_status,q_status,operating_point_status
GEN:00002,OSM:node:8342148580,,gas,BUS:OSM:relation:17294947:400,169.9873161932365,-49.49855157885498,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00003,OSM:node:4337573747,,gas,BUS:OSM:relation:19645437:400,162.6672882231928,-46.365550117530454,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00004,OSM:node:4337573748,,gas,BUS:OSM:relation:19645437:400,162.6672882231928,-46.365550117530454,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00005,OSM:node:13168164418,Grupo 2,gas,BUS:OSM:relation:17290041:400,159.41394245872897,58.21691036837758,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00006,OSM:node:13168164417,Grupo 1,gas,BUS:OSM:relation:17290041:400,159.41394245872897,58.21691036837758,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00007,OSM:node:13168164419,Grupo 3,gas,BUS:OSM:relation:17290041:400,159.41394245872897,58.21691036837758,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00008,OSM:node:12188389776,,hydro,BUS:OSM:way:151077578:150,325.13124233610654,-3.6951982356340927,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00009,OSM:node:13168337211,,gas,BUS:OSM:relation:19645523:220,134.20051278413405,99.48796658539062,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00010,OSM:node:13168337209,,gas,BUS:OSM:relation:19645523:220,134.20051278413405,99.48796658539062,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00011,OSM:node:7538670959,,hydro,BUS:OSM:way:135457228:400,264.27334312960454,-37.134851759475126,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00012,OSM:node:13067752049,,hydro,BUS:OSM:relation:19585241:220,205.08278362739028,-8.430251980320124,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00013,OSM:relation:14554338,Central Fotovoltaica Riccardo Totta,solar,BUS:OSM:way:791358190:400,0.6152925906745284,-110.0,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00014,OSM:node:7172675199,,hydro,BUS:OSM:way:767739005:400,183.40736747164988,-57.66421284375888,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00015,OSM:node:11375788309,,hydro,BUS:OSM:way:397005282:150,172.56965939377963,8.436812808900857,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00016,OSM:relation:14554340,Central Fotovoltaica de Rio Maior,solar,BUS:OSM:way:1331154119:400,0.5705440386254718,101.59759255534973,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00017,OSM:relation:21056109,Central Fotovoltaica de Cerca,solar,BUS:OSM:way:1298167959:400,0.5655098265199527,0.13708112309261367,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00018,OSM:node:13110511465,Grupo 4,hydro,BUS:OSM:way:144385776:220,160.89828146376553,-25.345442849119866,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00019,OSM:node:7521835687,,hydro,BUS:OSM:relation:17294958:220,159.23094175947782,-7.809646221994317,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
