source_line_id,source,source_status,voltage_kv,asset_type,operational_status,name,operator,circuits,length_km,line_id,from_bus,to_bus,geometry_json,osm_way_id,osm_circuit_ids,osm_line_section_ids,relation_identity_status,parameter_status,parameter_source,parameter_match_designation,parameter_match_count,r_status,x_status,c_status,max_i_status,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,max_i_ka,parallel,parallel_status,rating_override_status,seasonal_rating_status,df,in_service,switch_state_status,p_from_mw,q_from_mvar,p_to_mw,q_to_mvar,pl_mw,ql_mvar,i_from_ka,i_to_ka,i_ka,vm_from_pu,va_from_degree,vm_to_pu,va_to_degree,loading_percent,flow_result_status,thermal_limit_status,overloaded_in_case
EREDES:612487197:0:60,E-REDES,DIRECT_EREDES,60,overhead,Em exploração,1401L5651300,E-REDES,,2.0975562317985803,LINE:000001,BUS:JUNCTION:60:00001,BUS:JUNCTION:60:00002,"[[-8.34223906083395,39.48870778270226],[-8.343558187271356,39.48879122036324],[-8.345641275573156,39.488922722610646],[-8.349344389528632,39.48852977976677],[-8.3511760367932,39.48833533280281],[-8.352666379167697,39.48817707503933],[-8.355088348995636,39.48792964326596],[-8.357702753523817,39.48766248500193],[-8.361543558719385,39.487270200753166],[-8.366483477567145,39.48676484973115]]",,,,,VOLTAGE_CLASS_ENGINEERING_PROXY,config/model_config.json,,0,ENGINEERING_PROXY,ENGINEERING_PROXY,ENGINEERING_PROXY,ENGINEERING_PROXY,0.1093,0.368854,9.2,0.6969,1,SOURCE_CIRCUIT_FIELD_OR_SINGLE_CIRCUIT_DEFAULT,NO_CORRIDOR_OVERRIDE,WINTER_DYNAMIC_AMBIENT_TEMPERATURE_RATING_APPLIED,1.0,True,CLOSED_EQUIVALENT_FROM_EREDES_IN_OPERATION_ASSET_STATUS,13.432873292236666,-7.576201325302617,-13.41754315812308,7.606369853747609,0.0153301341135865,0.0301685284449924,0.1493462983809273,0.1492435439409935,0.1493462983809273,0.99365801410763,-5.020967995878314,0.9944391690283272,-5.216299699658103,21.430090168019415,AC_POWER_FLOW_SOLUTION_NOT_MEASURED_TELEMETRY,VOLTAGE_CLASS_STATIC_RATING_PROXY,False
EREDES:612487197:1:60,E-REDES,DIRECT_EREDES,60,overhead,Em exploração,1401L5651300,E-REDES,,0.4354070136463837,LINE:000002,BUS:JUNCTION:60:00003,BUS:JUNCTION:60:00004,"[[-8.396543678746767,39.479783845775685],[-8.398898551288669,39.477721681618604],[-8.399897048641352,39.47684561839676]]",,,,,VOLTAGE_CLASS_ENGINEERING_PROXY,config/model_config.json,,0,ENGINEERING_PROXY,ENGINEERING_PROXY,ENGINEERING_PROXY,ENGINEERING_PROXY,0.1093,0.368854,9.2,0.6969,1,SOURCE_CIRCUIT_FIELD_OR_SINGLE_CIRCUIT_DEFAULT,NO_CORRIDOR_OVERRIDE,WINTER_DYNAMIC_AMBIENT_TEMPERATURE_RATING_APPLIED,1.0,True,CLOSED_EQUIVALENT_FROM_EREDES_IN_OPERATION_ASSET_STATUS,13.396802709891896,-7.647083574158003,-13.393629125439832,7.653302918174466,0.0031735844520657,0.006219344016463,0.1491035353001146,0.1490820110668829,0.1491035353001146,0.9955086839393418,-5.480379116906202,0.9956736209358196,-5.520767762968767,21.395255459910263,AC_POWER_FLOW_SOLUTION_NOT_MEASURED_TELEMETRY,VOLTAGE_CLASS_STATIC_RATING_PROXY,False
EREDES:401408778:0:60,E-REDES,DIRECT_EREDES,60,overhead,Em exploração,0114L5142300,E-REDES,,1.1229848309820356,LINE:000003,BUS:EREDES:0114S5001700:60,BUS:JUNCTION:60:00006,"[[-8.606238327893193,40.487526445558565],[-8.606054645010273,40.487264451426505],[-8.60883148752443,40.48741109575348],[-8.61192019487289,40.48719265219742],[-8.616469382057764,40.486051336550744],[-8.618623632317199,40.48566773427211]]",,,,,PDIRD_CIRCUIT_PATH_MATCH_PARTIAL_SOURCE_BACKING,"E-REDES PDIRD-E 2020 Annex B, 31-12-2025 planning table",LN60 1423 BUSTOS-MIRA,1,CONDUCTOR_DERIVED_USING_DOCUMENTED_PORTUGUESE_PROJECT_RESISTANCE,CONDUCTOR_FAMILY_ENGINEERING_PROXY,CONDUCTOR_FAMILY_ENGINEERING_PROXY,DIRECT_PDIRD_MINIMUM_SUMMER_NOMINAL_CURRENT,0.05465,0.368854,9.2,1.3938,1,SOURCE_CIRCUIT_FIELD_OR_SINGLE_CIRCUIT_DEFAULT,NO_CORRIDOR_OVERRIDE,WINTER_DYNAMIC_AMBIENT_TEMPERATURE_RATING_APPLIED,1.0,True,CLOSED_EQUIVALENT_FROM_EREDES_IN_OPERATION_ASSET_STATUS,-2.451309964874724,0.4105570633672833,2.451419839468842,-0.4210230709899671,0.0001098745941181,-0.0104660076226837,0.0244198615968758,0.0244382759959724,0.0244382759959724,0.9793783860853852,-4.0922481908404205,0.9793722074011232,-4.07497639995325,1.7533560048767691,AC_POWER_FLOW_SOLUTION_NOT_MEASURED_TELEMETRY,SOURCE_BACKED_STATIC_SUMMER_NOMINAL_CURRENT,False
EREDES:473936596:0:60,E-REDES,DIRECT_EREDES,60,overhead,Em exploração,0114L5144000,E-REDES,,0.2329840087910831,LINE:000004,BUS:JUNCTION:60:00007,BUS:EREDES:0114S5022700:60,"[[-8.518363631618632,40.52089641274913],[-8.519901266947398,40.52247026956838],[-8.520016667863016,40.52257269502353]]",,,,,PDIRD_CIRCUIT_PATH_MATCH_PARTIAL_SOURCE_BACKING,"E-REDES PDIRD-E 2020 Annex B, 31-12-2025 planning table",LN60 1440 OLIVEIRA DO BAIRRO-BUSTOS,2,CONDUCTOR_DERIVED_USING_DOCUMENTED_PORTUGUESE_PROJECT_RESISTANCE,CONDUCTOR_FAMILY_ENGINEERING_PROXY,CONDUCTOR_FAMILY_ENGINEERING_PROXY,DIRECT_PDIRD_MINIMUM_SUMMER_NOMINAL_CURRENT,0.1093,0.3688539999999999,9.2,0.4416,1,SOURCE_CIRCUIT_FIELD_OR_SINGLE_CIRCUIT_DEFAULT,NO_CORRIDOR_OVERRIDE,WINTER_DYNAMIC_AMBIENT_TEMPERATURE_RATING_APPLIED,1.0,True,CLOSED_EQUIVALENT_FROM_EREDES_IN_OPERATION_ASSET_STATUS,9.38482576219891,1.9257929869436987,-9.384150896691017,-1.9258475231936911,0.0006748655078947,-5.453624999240958e-05,0.0939862284385975,0.0939908276511209,0.0939908276511209,0.98085886724463,-4.340440546508412,0.9807443133217104,-4.352972037679045,21.284154812300933,AC_POWER_FLOW_SOLUTION_NOT_MEASURED_TELEMETRY,SOURCE_BACKED_STATIC_SUMMER_NOMINAL_CURRENT,False
EREDES:523774251:0:60,E-REDES,DIRECT_EREDES,60,overhead,Desligado/Reserva,1805L5101800,E-REDES,,10.258387652120051,LINE:000006,BUS:JUNCTION:60:00010,BUS:JUNCTION:60:00011,"[[-7.77518066637363,41.17603671973048],[-7.775176444048409,41.17630351713597],[-7.775125006379877,41.17955380102326],[-7.77504561544706,41.18456877799323],[-7.775009411215698,41.186855675813355],[-7.774984896758568,41.188404287025236],[-7.77493115238347,41.19179861582801],[-7.774870838111766,41.19560710848753],[-7.774777140496223,41.201522423467225],[-7.774738917344084,41.203935367426155],[-7.774619368265426,41.21148030346592],[-7.774580986636505,41.21390223790475],[-7.774555160317895,41.21553187557493],[-7.774425283406537,41.22372504857187],[-7.771727228570066,41.23000286648836],[-7.768259131548192,41.238070577040396],[-7.76671992466864,41.241650479974695],[-7.765843470027866,41.243688792187754],[-7.765394367431711,41.24706635809838],[-7.765067939135613,41.24952115043181],[-7.763991963524497,41.257611175153485],[-7.763815593138648,41.258937111635746],[-7.763309064476044,41.262744703560195],[-7.762722309504245,41.26715483334818]]",,,,,VOLTAGE_CLASS_ENGINEERING_PROXY,config/model_config.json,,0,ENGINEERING_PROXY,ENGINEERING_PROXY,ENGINEERING_PROXY,ENGINEERING_PROXY,0.1093,0.368854,9.2,0.6969,1,SOURCE_CIRCUIT_FIELD_OR_SINGLE_CIRCUIT_DEFAULT,NO_CORRIDOR_OVERRIDE,WINTER_DYNAMIC_AMBIENT_TEMPERATURE_RATING_APPLIED,1.0,False,OPEN_EQUIVALENT_FROM_EREDES_DISCONNECTED_OR_RESERVE_ASSET_STATUS,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,AC_POWER_FLOW_SOLUTION_NOT_MEASURED_TELEMETRY,VOLTAGE_CLASS_STATIC_RATING_PROXY,False
EREDES:649319328:0:60,E-REDES,DIRECT_EREDES,60,overhead,Em exploração,1101L5603100,E-REDES,,1.235772410113141,LINE:000007,BUS:JUNCTION:60:00012,BUS:EREDES:1101S5423500:60,"[[-9.112237315781444,39.07503301093164],[-9.113041350043037,39.07614106151919],[-9.114544421311372,39.0788455954905],[-9.11639879601248,39.0821761026708],[-9.115709462562961,39.08395288317812],[-9.115284504416392,39.08529535818112],[-9.115274007019003,39.085324234049544]]",,,,,PDIRD_CIRCUIT_PATH_MATCH_PARTIAL_SOURCE_BACKING,"E-REDES PDIRD-E 2020 Annex B, 31-12-2025 planning table",LN60 6283 MERCEANA-MATACÃES,1,CONDUCTOR_DERIVED_USING_DOCUMENTED_PORTUGUESE_PROJECT_RESISTANCE,CONDUCTOR_FAMILY_ENGINEERING_PROXY,CONDUCTOR_FAMILY_ENGINEERING_PROXY,DIRECT_PDIRD_MINIMUM_SUMMER_NOMINAL_CURRENT,0.1093,0.368854,9.2,0.4416,1,SOURCE_CIRCUIT_FIELD_OR_SINGLE_CIRCUIT_DEFAULT,NO_CORRIDOR_OVERRIDE,WINTER_DYNAMIC_AMBIENT_TEMPERATURE_RATING_APPLIED,1.0,True,CLOSED_EQUIVALENT_FROM_EREDES_IN_OPERATION_ASSET_STATUS,2.5539652510393505,1.0301833700425267,-2.5536723059807884,-1.0417027240199404,0.000292945058562,-0.0115193539774136,0.0268647808030549,0.0269106516976193,0.0269106516976193,0.9864031469777448,-11.10136092978019,0.9861730057667168,-11.11811724663982,6.093897576453668,AC_POWER_FLOW_SOLUTION_NOT_MEASURED_TELEMETRY,SOURCE_BACKED_STATIC_SUMMER_NOMINAL_CURRENT,False
EREDES:649319433:0:60,E-REDES,DIRECT_EREDES,60,overhead,Em exploração,1101L5628300,E-REDES,,1.2344328955013668,LINE:000009,BUS:JUNCTION:60:00012,BUS:EREDES:1101S5423500:60,"[[-9.112252835171462,39.07502050435913],[-9.113064075337425,39.07613152964285],[-9.114567432393118,39.0788374570443],[-9.116421093783359,39.08217395072718],[-9.115736182631519,39.08395788185138],[-9.115308109287708,39.08529986981903]]",,,,,PDIRD_CIRCUIT_PATH_MATCH_PARTIAL_SOURCE_BACKING,"E-REDES PDIRD-E 2020 Annex B, 31-12-2025 planning table",LN60 6283 MERCEANA-MATACÃES,1,CONDUCTOR_DERIVED_USING_DOCUMENTED_PORTUGUESE_PROJECT_RESISTANCE,CONDUCTOR_FAMILY_ENGINEERING_PROXY,CONDUCTOR_FAMILY_ENGINEERING_PROXY,DIRECT_PDIRD_MINIMUM_SUMMER_NOMINAL_CURRENT,0.1093,0.368854,9.2,0.4416,1,SOURCE_CIRCUIT_FIELD_OR_SINGLE_CIRCUIT_DEFAULT,NO_CORRIDOR_OVERRIDE,WINTER_DYNAMIC_AMBIENT_TEMPERATURE_RATING_APPLIED,1.0,True,CLOSED_EQUIVALENT_FROM_EREDES_IN_OPERATION_ASSET_STATUS,2.556736623857645,1.0313148167973396,-2.5564433609161266,-1.042819540031011,0.0002932629415179,-0.0115047232336713,0.0268939819763327,0.0269398031496297,0.0269398031496297,0.9864031469777448,-11.10136092978019,0.9861730057667168,-11.11811724663982,6.100498901637165,AC_POWER_FLOW_SOLUTION_NOT_MEASURED_TELEMETRY,SOURCE_BACKED_STATIC_SUMMER_NOMINAL_CURRENT,False
EREDES:693044682:0:60,E-REDES,DIRECT_EREDES,60,overhead,Em exploração,1101L5628300,E-REDES,,0.1192846223676223,LINE:000010,BUS:JUNCTION:60:00014,BUS:JUNCTION:60:00012,"[[-9.1134093350748,39.07560764022897],[-9.112252835171462,39.07502050435913]]",,,,,PDIRD_CIRCUIT_PATH_MATCH_PARTIAL_SOURCE_BACKING,"E-REDES PDIRD-E 2020 Annex B, 31-12-2025 planning table",LN60 6283 MERCEANA-MATACÃES,1,CONDUCTOR_DERIVED_USING_DOCUMENTED_PORTUGUESE_PROJECT_RESISTANCE,CONDUCTOR_FAMILY_ENGINEERING_PROXY,CONDUCTOR_FAMILY_ENGINEERING_PROXY,DIRECT_PDIRD_MINIMUM_SUMMER_NOMINAL_CURRENT,0.1093,0.368854,9.2,0.4416,1,SOURCE_CIRCUIT_FIELD_OR_SINGLE_CIRCUIT_DEFAULT,NO_CORRIDOR_OVERRIDE,WINTER_DYNAMIC_AMBIENT_TEMPERATURE_RATING_APPLIED,1.0,True,CLOSED_EQUIVALENT_FROM_EREDES_IN_OPERATION_ASSET_STATUS,4.100112347150593,-1.0722909117051145,-4.10004549978293,1.07130886984988,6.684736766260357e-05,-0.0009820418552344,0.0413423227365402,0.0413393432914465,0.0413423227365402,0.9864049206315488,-11.09818154216816,0.9864031469777448,-11.10136092978019,9.361939025484666,AC_POWER_FLOW_SOLUTION_NOT_MEASURED_TELEMETRY,SOURCE_BACKED_STATIC_SUMMER_NOMINAL_CURRENT,False
EREDES:615634052:0:60,E-REDES,DIRECT_EREDES,60,cable,Em exploração,1114L5603500,E-REDES,,0.3667354489156861,LINE:000011,BUS:EREDES:1114P5329500:60,BUS:JUNCTION:60:00016,"[[-8.978495780408736,38.98242972268903],[-8.9779327952338,38.98217302238758],[-8.9775613179329,38.98208114660825],[-8.977517474666087,38.98206170201116],[-8.977498578702647,38.982044877860844],[-8.977468763432414,38.98201140591479],[-8.977461244857128,38.98198862636916],[-8.977459755820217,38.98195466080999],[-8.977463625946518,38.98193754549127],[-8.977471364897363,38.98192259995717],[-8.977471282789482,38.981915700794254],[-8.977464970361412,38.98191087349317],[-8.977387799288158,38.981885707493994],[-8.977438189972839,38.981809489876746],[-8.977490078391554,38.98172628055209],[-8.977529354742492,38.98165389060302],[-8.977566773874734,38.98158351377564],[-8.977601502675768,38.981506238670256],[-8.977648767414117,38.98139916585456],[-8.977686525136413,38.98129811593246],[-8.977729265964125,38.981173610310584],[-8.977766346859793,38.9810612878552],[-8.977796797041442,38.980945518561036],[-8.977821150715156,38.98085759968583],[-8.97789039265463,38.98064627647116],[-8.977970634341313,38.98037699109529],[-8.978004279396322,38.98026015368711],[-8.978033191638218,38.980159690243944],[-8.978045924807313,38.98011547002722],[-8.978055504939801,38.98006134639751],[-8.97805516139473,38.980032497804046],[-8.978053697282824,38.98000645867887],[-8.978049715250823,38.979975393609884],[-8.978035901764088,38.97993664439213],[-8.978021118068746,38.97991042266392],[-8.978008493559589,38.97989495826356],[-8.977996183085626,38.97988454480235],[-8.97797968233296,38.97987306282031],[-8.977964185584199,38.97986351917696],[-8.977947508386327,38.979855632470795],[-8.977933024479741,38.97984973852917],[-8.977855172986068,38.979827343066866]]",,,,,VOLTAGE_CLASS_ENGINEERING_PROXY,config/model_config.json,,0,ENGINEERING_PROXY,ENGINEERING_PROXY,ENGINEERING_PROXY,ENGINEERING_PROXY,0.071045,0.1290989,184.0,0.6272099999999999,1,SOURCE_CIRCUIT_FIELD_OR_SINGLE_CIRCUIT_DEFAULT,NO_CORRIDOR_OVERRIDE,WINTER_DYNAMIC_AMBIENT_TEMPERATURE_RATING_APPLIED,1.0,True,CLOSED_EQUIVALENT_FROM_EREDES_IN_OPERATION_ASSET_STATUS,3.2952523373577973,0.2872057791668158,-3.295171023112427,-0.3615303519333807,8.131424537038967e-05,-0.0743245727665649,0.0322201766325095,0.032291237674842,0.032291237674842,0.9878526974674152,-11.630328303717532,0.9878242365836556,-11.63273499077397,5.148393309233282,AC_POWER_FLOW_SOLUTION_NOT_MEASURED_TELEMETRY,VOLTAGE_CLASS_STATIC_RATING_PROXY,False
EREDES:615634066:0:60,E-REDES,DIRECT_EREDES,60,cable,Em exploração,1114L5620600,E-REDES,,0.2890368332787688,LINE:000012,BUS:JUNCTION:60:00017,BUS:JUNCTION:60:00016,"[[-8.974977450109645,38.97872260958306],[-8.974932424777384,38.97880366947466],[-8.975523392966213,38.9790964464254],[-8.975649685949966,38.97915654980097],[-8.975660918514995,38.97917341168937],[-8.97568140324701,38.97919293592017],[-8.975714782988609,38.97921479888448],[-8.975759731747576,38.97923326336607],[-8.975833629580446,38.979255184421255],[-8.977850771666283,38.97983568893208]]",,,,,VOLTAGE_CLASS_ENGINEERING_PROXY,config/model_config.json,,0,ENGINEERING_PROXY,ENGINEERING_PROXY,ENGINEERING_PROXY,ENGINEERING_PROXY,0.071045,0.1290989,184.0,0.6272099999999999,1,SOURCE_CIRCUIT_FIELD_OR_SINGLE_CIRCUIT_DEFAULT,NO_CORRIDOR_OVERRIDE,WINTER_DYNAMIC_AMBIENT_TEMPERATURE_RATING_APPLIED,1.0,True,CLOSED_EQUIVALENT_FROM_EREDES_IN_OPERATION_ASSET_STATUS,-2.9780169270336505,-0.3933766003003822,2.978069545611941,0.3347809464571898,5.261857829053085e-05,-0.0585956538431923,0.0292618044936227,0.0291924284718117,0.0292618044936227,0.9878032198083384,-11.63442554361984,0.9878242365836556,-11.63273499077397,4.665391893245126,AC_POWER_FLOW_SOLUTION_NOT_MEASURED_TELEMETRY,VOLTAGE_CLASS_STATIC_RATING_PROXY,False
