load_id,bus_id,p_mw,q_mvar,observed_p_mw,ren_residual_p_mw,power_factor,substation_name,facility_code,timestamp,source_status,reactive_power_status,network_connection_status,in_service_scenario,operating_point_status
LOAD:00000,BUS:EREDES:0101S5000600:60,26.27,6.5838826117656195,26.27,0.0,0.97,AGUEDA,0101S5000600,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00001,BUS:EREDES:0101S5001600:60,25.28,6.335765223655686,25.28,0.0,0.97,BARRÔ,0101S5001600,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00002,BUS:EREDES:0102S5000700:60,12.1,3.03254585467697,12.1,0.0,0.97,ALBERGARIA,0102S5000700,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00003,BUS:EREDES:0102S5010600:60,22.92,5.7442934701815,22.92,0.0,0.97,VISTA ALEGRE,0102S5010600,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00004,BUS:EREDES:0103S5006000:60,17.89,4.483656639683553,17.89,0.0,0.97,MOGOFORES,0103S5006000,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00005,BUS:EREDES:0104S5000900:60,5.97,1.4962230373902072,5.97,0.0,0.97,AROUCA,0104S5000900,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00006,BUS:EREDES:0105S5001500:60,35.71,8.949769625662363,35.71,0.0,0.97,AVEIRO,0105S5001500,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00007,BUS:EREDES:0105S5003900:60,35.17,8.81443286851149,35.17,0.0,0.97,ESGUEIRA,0105S5003900,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00008,BUS:EREDES:0106S5021300:60,0.8,0.2004988994827748,0.8,0.0,0.97,FORNOS,0106S5021300,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00009,BUS:EREDES:0107S5002500:60,30.93,7.751788701252783,30.93,0.0,0.97,ESPINHO,0107S5002500,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
