transformer_id,hv_bus,lv_bus,hv_kv,lv_kv,sn_mva,vk_percent,vkr_percent,pfe_kw,i0_percent,shift_degree,tap_side,tap_neutral,tap_min,tap_max,tap_step_percent,tap_pos,source_status,source_id,evidence,match_distance_m,parameter_status,pre_calibration_sn_mva,capacity_calibration_factor,p_hv_mw,q_hv_mvar,p_lv_mw,q_lv_mvar,pl_mw,ql_mvar,i_hv_ka,i_lv_ka,vm_hv_pu,va_hv_degree,vm_lv_pu,va_lv_degree,loading_percent,solved_tap_pos,initial_tap_pos,final_lv_vm_pu,tap_position_status,flow_result_status
TRAFO:00000,BUS:OSM:way:116944631:220,BUS:JUNCTION:60:01220,220,60,120.0,12.0,0.4,0.0,0.0,0.0,hv,0,-8,8,1.25,0,DIRECT_OSM_TRANSFORMER_TAG,OSM:node:1320279099,"{""frequency"": ""50"", ""operator"": ""REN"", ""operator:wikidata"": ""Q1862842"", ""power"": ""transformer"", ""rating"": ""120 MVA"", ""transformer"": ""main"", ""voltage:primary"": ""220000"", ""voltage:secondary"": ""60000""}",63.550035390600854,OSM_NAMEPLATE_MVA_WITH_PROXY_IMPEDANCE+REN_VOLTAGE_PAIR_AGGREGATE_CALIBRATION,120.0,1.0,53.924572111904425,15.79767805522178,-53.81808460156985,-12.604828030294987,0.1064875103345741,3.192850024926793,0.148329200503547,0.5438737351796723,0.9941607979230296,-1.3436058327335691,0.9779455750227496,-4.490272311422788,47.10084711167268,-8.0,0.0,0.9779455750227496,INFERRED_DISCRETE_VOLTAGE_CONTROL_NOT_OPERATOR_OBSERVED,AC_POWER_FLOW_SOLUTION_NOT_MEASURED_TELEMETRY
TRAFO:00001,BUS:OSM:way:131715746:220,BUS:JUNCTION:60:00091,220,60,126.0,12.0,0.4,0.0,0.0,0.0,hv,0,-8,8,1.25,0,DIRECT_OSM_TRANSFORMER_TAG,OSM:node:3430128046,"{""frequency"": ""50"", ""operator"": ""REN"", ""operator:wikidata"": ""Q1862842"", ""power"": ""transformer"", ""rating"": ""126 MVA"", ""transformer"": ""main"", ""voltage:primary"": ""220000"", ""voltage:secondary"": ""60000""}",399.78111042886974,OSM_NAMEPLATE_MVA_WITH_PROXY_IMPEDANCE+REN_VOLTAGE_PAIR_AGGREGATE_CALIBRATION,126.0,1.0,28.145431520861603,9.532671594333603,-28.117105429829092,-8.683361096087715,0.0283260910325111,0.8493104982458881,0.0783908352715643,0.2874330626624026,0.9948117030280194,-7.667811251859786,0.9851523995942608,-9.216537588918058,23.70707944316239,0.0,0.0,0.9851523995942608,INFERRED_DISCRETE_VOLTAGE_CONTROL_NOT_OPERATOR_OBSERVED,AC_POWER_FLOW_SOLUTION_NOT_MEASURED_TELEMETRY
TRAFO:00002,BUS:OSM:way:131715746:400,BUS:OSM:way:131715746:220,400,220,476.47058823529414,12.0,0.3,0.0,0.0,0.0,hv,0,-8,8,1.25,0,DIRECT_OSM_TRANSFORMER_TAG,OSM:node:3430128063,"{""devices"": ""3"", ""frequency"": ""50"", ""operator"": ""REN"", ""operator:wikidata"": ""Q1862842"", ""phases"": ""1"", ""power"": ""transformer"", ""rating"": ""450 MVA"", ""transformer"": ""main"", ""voltage:primary"": ""400000"", ""voltage:secondary"": ""220000"", ""windings:auto"": ""yes""}",262.5235219485305,OSM_NAMEPLATE_MVA_WITH_PROXY_IMPEDANCE+REN_VOLTAGE_PAIR_AGGREGATE_CALIBRATION,450.0,1.0588235294117647,88.66700000924592,2.0982053155931077,-88.61703817157206,-0.1003564292225207,0.0499618376738624,1.997848886370587,0.1285748436000851,0.2337724429092457,0.9956505893632284,-6.377109665727566,0.9948117030280194,-7.667811251859786,18.695648141924355,0.0,0.0,0.9948117030280194,INFERRED_DISCRETE_VOLTAGE_CONTROL_NOT_OPERATOR_OBSERVED,AC_POWER_FLOW_SOLUTION_NOT_MEASURED_TELEMETRY
TRAFO:00003,BUS:OSM:way:131715746:400,BUS:OSM:way:131715746:220,400,220,476.47058823529414,12.0,0.3,0.0,0.0,0.0,hv,0,-8,8,1.25,0,DIRECT_OSM_TRANSFORMER_TAG,OSM:node:3430128066,"{""devices"": ""3"", ""frequency"": ""50"", ""operator"": ""REN"", ""operator:wikidata"": ""Q1862842"", ""phases"": ""1"", ""power"": ""transformer"", ""rating"": ""450 MVA"", ""transformer"": ""main"", ""voltage:primary"": ""400000"", ""voltage:secondary"": ""220000"", ""windings:auto"": ""yes""}",65.23481076784329,OSM_NAMEPLATE_MVA_WITH_PROXY_IMPEDANCE+REN_VOLTAGE_PAIR_AGGREGATE_CALIBRATION,450.0,1.0588235294117647,88.66700000924592,2.0982053155931077,-88.61703817157206,-0.1003564292225207,0.0499618376738624,1.997848886370587,0.1285748436000851,0.2337724429092457,0.9956505893632284,-6.377109665727566,0.9948117030280194,-7.667811251859786,18.695648141924355,0.0,0.0,0.9948117030280194,INFERRED_DISCRETE_VOLTAGE_CONTROL_NOT_OPERATOR_OBSERVED,AC_POWER_FLOW_SOLUTION_NOT_MEASURED_TELEMETRY
TRAFO:00004,BUS:OSM:way:131715746:220,BUS:JUNCTION:60:00091,220,60,126.0,12.0,0.4,0.0,0.0,0.0,hv,0,-8,8,1.25,0,DIRECT_OSM_TRANSFORMER_TAG,OSM:node:3430128070,"{""frequency"": ""50"", ""operator"": ""REN"", ""operator:wikidata"": ""Q1862842"", ""power"": ""transformer"", ""rating"": ""126 MVA"", ""transformer"": ""main"", ""voltage:primary"": ""220000"", ""voltage:secondary"": ""60000""}",356.26249889592157,OSM_NAMEPLATE_MVA_WITH_PROXY_IMPEDANCE+REN_VOLTAGE_PAIR_AGGREGATE_CALIBRATION,126.0,1.0,28.145431520861603,9.532671594333603,-28.117105429829092,-8.683361096087715,0.0283260910325111,0.8493104982458881,0.0783908352715643,0.2874330626624026,0.9948117030280194,-7.667811251859786,0.9851523995942608,-9.216537588918058,23.70707944316239,0.0,0.0,0.9851523995942608,INFERRED_DISCRETE_VOLTAGE_CONTROL_NOT_OPERATOR_OBSERVED,AC_POWER_FLOW_SOLUTION_NOT_MEASURED_TELEMETRY
TRAFO:00005,BUS:OSM:way:132865612:400,BUS:JUNCTION:60:01977,400,60,170.0,12.0,0.35,0.0,0.0,0.0,hv,0,-8,8,1.25,0,DIRECT_OSM_TRANSFORMER_TAG,OSM:node:3452186571,"{""frequency"": ""50"", ""location"": ""outdoor"", ""operator"": ""REN"", ""operator:wikidata"": ""Q1862842"", ""power"": ""transformer"", ""rating"": ""170 MVA"", ""transformer"": ""main"", ""voltage:primary"": ""400000"", ""voltage:secondary"": ""60000""}",242.54419001023143,OSM_NAMEPLATE_MVA_WITH_PROXY_IMPEDANCE+REN_VOLTAGE_PAIR_AGGREGATE_CALIBRATION,170.0,1.0,46.43000534639463,30.393407440262816,-46.36631887885275,-28.21080036884755,0.0636864675418777,2.1826070714152657,0.0802774188514553,0.5351827923430358,0.997760738283766,0.7294670651770184,0.9758411251696028,-1.161859837220767,32.71636897675489,-8.0,0.0,0.9758411251696028,INFERRED_DISCRETE_VOLTAGE_CONTROL_NOT_OPERATOR_OBSERVED,AC_POWER_FLOW_SOLUTION_NOT_MEASURED_TELEMETRY
TRAFO:00006,BUS:OSM:way:132865612:400,BUS:JUNCTION:60:01977,400,60,170.0,12.0,0.35,0.0,0.0,0.0,hv,0,-8,8,1.25,0,DIRECT_OSM_TRANSFORMER_TAG,OSM:node:3452186590,"{""frequency"": ""50"", ""location"": ""outdoor"", ""operator"": ""REN"", ""operator:wikidata"": ""Q1862842"", ""power"": ""transformer"", ""rating"": ""170 MVA"", ""transformer"": ""main"", ""voltage:primary"": ""400000"", ""voltage:secondary"": ""60000""}",277.31064952200137,OSM_NAMEPLATE_MVA_WITH_PROXY_IMPEDANCE+REN_VOLTAGE_PAIR_AGGREGATE_CALIBRATION,170.0,1.0,46.43000534639463,30.393407440262816,-46.36631887885275,-28.21080036884755,0.0636864675418777,2.1826070714152657,0.0802774188514553,0.5351827923430358,0.997760738283766,0.7294670651770184,0.9758411251696028,-1.161859837220767,32.71636897675489,-8.0,0.0,0.9758411251696028,INFERRED_DISCRETE_VOLTAGE_CONTROL_NOT_OPERATOR_OBSERVED,AC_POWER_FLOW_SOLUTION_NOT_MEASURED_TELEMETRY
TRAFO:00007,BUS:OSM:way:132865612:400,BUS:OSM:way:132865612:150,400,150,360.0,12.0,0.3,0.0,0.0,0.0,hv,0,-8,8,1.25,0,DIRECT_OSM_TRANSFORMER_TAG,OSM:node:3452187778,"{""frequency"": ""50"", ""location"": ""outdoor"", ""operator"": ""REN"", ""operator:wikidata"": ""Q1862842"", ""power"": ""transformer"", ""rating"": ""360 MVA"", ""transformer"": ""main"", ""voltage:primary"": ""400000"", ""voltage:secondary"": ""150000"", ""windings:auto"": ""yes""}",115.52565223928856,OSM_NAMEPLATE_MVA_WITH_PROXY_IMPEDANCE+REN_VOLTAGE_PAIR_AGGREGATE_CALIBRATION,360.0,1.0,-107.439694543292,35.12891387523562,107.54665075081064,-30.852002736049737,0.1069562075186212,4.276911139185881,0.1635207995322005,0.4360554654192014,0.997760738283766,0.7294670651770184,0.987588618278876,2.828705181813412,31.469592542672935,0.0,0.0,0.987588618278876,INFERRED_DISCRETE_VOLTAGE_CONTROL_NOT_OPERATOR_OBSERVED,AC_POWER_FLOW_SOLUTION_NOT_MEASURED_TELEMETRY
TRAFO:00008,BUS:OSM:way:132865612:400,BUS:OSM:way:132865612:150,400,150,360.0,12.0,0.3,0.0,0.0,0.0,hv,0,-8,8,1.25,0,DIRECT_OSM_TRANSFORMER_TAG,OSM:node:3452188053,"{""frequency"": ""50"", ""location"": ""outdoor"", ""operator"": ""REN"", ""operator:wikidata"": ""Q1862842"", ""power"": ""transformer"", ""rating"": ""360 MVA"", ""transformer"": ""main"", ""voltage:primary"": ""400000"", ""voltage:secondary"": ""150000"", ""windings:auto"": ""yes""}",68.97529125451732,OSM_NAMEPLATE_MVA_WITH_PROXY_IMPEDANCE+REN_VOLTAGE_PAIR_AGGREGATE_CALIBRATION,360.0,1.0,-107.439694543292,35.12891387523562,107.54665075081064,-30.852002736049737,0.1069562075186212,4.276911139185881,0.1635207995322005,0.4360554654192014,0.997760738283766,0.7294670651770184,0.987588618278876,2.828705181813412,31.469592542672935,0.0,0.0,0.987588618278876,INFERRED_DISCRETE_VOLTAGE_CONTROL_NOT_OPERATOR_OBSERVED,AC_POWER_FLOW_SOLUTION_NOT_MEASURED_TELEMETRY
TRAFO:00009,BUS:OSM:way:144711815:150,BUS:EREDES:0813S5062400:60,150,60,170.0,12.0,0.45,0.0,0.0,0.0,hv,0,-8,8,1.25,0,DIRECT_OSM_TRANSFORMER_TAG,OSM:node:3459220884,"{""frequency"": ""50"", ""operator"": ""REN"", ""operator:wikidata"": ""Q1862842"", ""power"": ""transformer"", ""transformer"": ""main"", ""voltage:primary"": ""150000"", ""voltage:secondary"": ""60000""}",92.11107468753828,VOLTAGE_PAIR_PROXY+REN_VOLTAGE_PAIR_AGGREGATE_CALIBRATION,170.0,1.0,43.81457462267508,8.890645583352441,-43.76022244526643,-7.442273647645417,0.0543521774086457,1.4483719357070235,0.1744113689754433,0.4360284224386083,0.9866286099222064,-10.103252834737235,0.9795901425243672,-11.921793931204698,26.65494286615677,-8.0,0.0,0.9795901425243672,INFERRED_DISCRETE_VOLTAGE_CONTROL_NOT_OPERATOR_OBSERVED,AC_POWER_FLOW_SOLUTION_NOT_MEASURED_TELEMETRY
