quantity,observed_or_source_backed_rows,estimated_rows,interpretation
line_r_ohm_per_km,1517,3426,PDIRD conductor-derived where matched; otherwise voltage/asset-class proxy
line_x_ohm_per_km,0,4943,Engineering proxy; no equipment-level public reactance series
line_c_nf_per_km,0,4943,Engineering proxy; no equipment-level public capacitance series
line_thermal_limit,1556,3387,Static summer nominal current where PDIRD/RARI-backed; not real-time dynamic line rating
line_service_state,4247,696,E-REDES asset status or explicit steady-state assumption; not individual breaker telemetry
generator_p_mw,0,1421,REN source totals are observed; allocation to public assets is proportional to nameplate
generator_q_mvar,0,1421,Solved PV-bus response or fixed-PQ assumption; not unit telemetry
load_p_mw,395,0,E-REDES substation observations plus PTD-weighted residual to match REN consumption
load_q_mvar,0,401,Derived using fixed power factor 0.97
transformer_tap_pos,0,228,Discrete voltage-control inference within declared tap range
line_p_q_flow,0,4824,Solved AC power-flow result; not measured branch telemetry
