bus_id,voltage_kv,lon,lat,facility_id,facility_name,facility_code,facility_type,source,source_status,endpoint_match_distance_m
BUS:EREDES:0303S5020700:60,60,-8.43195233319339,41.4967091125347,EREDES:0303S5020700,LAMAS,0303S5020700,substation,E-REDES,DIRECT_EREDES,9.471337505952693
BUS:JUNCTION:60:00001,60,-8.34223906083395,39.48870778270226,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:00002,60,-8.366483477567145,39.48676484973115,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:00003,60,-8.396543678746767,39.479783845775685,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:00004,60,-8.399897048641352,39.47684561839676,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:EREDES:0114S5001700:60,60,-8.60604013704436,40.4874150701647,EREDES:0114S5001700,BUSTOS,0114S5001700,substation,E-REDES,DIRECT_EREDES,30.83682149992728
BUS:JUNCTION:60:00006,60,-8.618623632317199,40.48566773427211,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:00007,60,-8.518335533878552,40.520905512104406,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:EREDES:0114S5022700:60,60,-8.52022755743856,40.5228889710551,EREDES:0114S5022700,OLIVEIRA DO BAIRRO,0114S5022700,substation,E-REDES,DIRECT_EREDES,39.087774889277185
BUS:EREDES:0201S5050500:60,60,-8.1519294443239,37.8786749181258,EREDES:0201S5050500,ALJUSTREL,0201S5050500,substation,E-REDES,DIRECT_EREDES,49.57875944065877
BUS:JUNCTION:60:00010,60,-7.77518066637363,41.17603671973048,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:00011,60,-7.762722309504245,41.26715483334818,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:00012,60,-9.112245075476453,39.07502675764539,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:EREDES:1101S5423500:60,60,-9.11556162327268,39.0854341268528,EREDES:1101S5423500,MERCEANA,1101S5423500,substation,E-REDES,DIRECT_EREDES,13.018802753260474
BUS:JUNCTION:60:00014,60,-9.1134093350748,39.07560764022897,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:EREDES:1114P5329500:60,60,-8.97765061059676,38.9829287450124,EREDES:1114P5329500,EPAL,1114P5329500,switching_station,E-REDES,DIRECT_EREDES,35.757747823788016
BUS:JUNCTION:60:00016,60,-8.977850906719063,38.979835723982525,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:00017,60,-8.974977490923768,38.97872248318237,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:EREDES:1114S5340500:60,60,-8.97582615568302,38.9756466880235,EREDES:1114S5340500,AREIAS (VFX),1114S5340500,substation,E-REDES,DIRECT_EREDES,17.501633430447786
BUS:JUNCTION:60:00019,60,-9.061026151081686,38.88442755919783,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:00020,60,-9.063283832339883,38.88584301086363,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:00021,60,-9.073086937227778,38.888479705764716,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:EREDES:1114S5192200:60,60,-9.07432559463732,38.8591289576821,EREDES:1114S5192200,PÓVOA,1114S5192200,substation,E-REDES,DIRECT_EREDES,24.794818439788134
BUS:JUNCTION:60:00023,60,-9.075191886625332,38.854981710354835,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:00024,60,-8.12635362834341,38.054814283844195,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:00025,60,-8.114908590753572,38.0362515321953,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:00026,60,-8.252430463601478,38.048527486698056,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:00027,60,-8.266872196054539,38.04562591798415,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:00028,60,-8.786346940841423,40.028706624079575,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:EREDES:1015S5904900:60,60,-8.7894300087948,40.0274769072192,EREDES:1015S5904900,LOURIÇAL,1015S5904900,substation,E-REDES,DIRECT_EREDES,131.51318129355198
BUS:JUNCTION:60:00030,60,-8.236454309038356,37.10713344170629,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:EREDES:0801S5063000:60,60,-8.24974575735014,37.0958818398098,EREDES:0801S5063000,ALBUFEIRA,0801S5063000,substation,E-REDES,DIRECT_EREDES,30.35673758325288
BUS:JUNCTION:60:00032,60,-8.249313197919282,37.09845560481505,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:00033,60,-8.255026216475123,37.102509341862785,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:00034,60,-8.255622077612847,37.097811859286445,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:00035,60,-8.25632755247917,37.1021402423365,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:00037,60,-7.867568763518062,39.2659377909909,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:00038,60,-7.81165500221526,39.271005680195934,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:00039,60,-7.737897461714558,39.27464608512436,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:00040,60,-7.666626740082647,39.18753589787319,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:00041,60,-9.105346709380791,38.75254097746407,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:00042,60,-9.105216658565945,38.74949755156341,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:00043,60,-9.1050196426128,38.756470126681336,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:EREDES:1106S5902900:60,60,-9.10334829826404,38.7440561181026,EREDES:1106S5902900,MARVILA,1106S5902900,substation,E-REDES,DIRECT_EREDES,166.89807562849475
BUS:JUNCTION:60:00045,60,-9.165964156232976,38.74288677178328,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:EREDES:1106P5470000:60,60,-9.17049899830762,38.7392022479136,EREDES:1106P5470000,PALHAVÃ,1106P5470000,switching_station,E-REDES,DIRECT_EREDES,193.3286400523086
BUS:EREDES:1106S5183100:60,60,-9.21261322266986,38.7208265716968,EREDES:1106S5183100,ZAMBUJAL,1106S5183100,substation,E-REDES,DIRECT_EREDES,10.905499870640622
BUS:JUNCTION:60:00048,60,-9.163520262555817,38.74431065542724,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:00049,60,-9.159165123936432,38.752830586683466,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:00050,60,-8.962893807870998,38.57832180387254,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:00051,60,-8.958155079400978,38.577444150753834,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:00052,60,-8.974883958060357,38.58118060902669,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:00053,60,-8.983620913605513,38.5890207605096,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:00054,60,-8.789614178515993,39.65165179660989,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:00055,60,-8.789803132934168,39.649699089726006,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:00056,60,-8.79237159952492,39.649354306741536,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:00057,60,-8.800923082872426,39.66543004888184,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:EREDES:0805S5060100:60,60,-7.94586956747978,37.0600097383888,EREDES:0805S5060100,BRACIAIS,0805S5060100,substation,E-REDES,DIRECT_EREDES,10.931216750836084
BUS:JUNCTION:60:00059,60,-7.85232856956658,37.08293595421697,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:00060,60,-7.96486794899109,37.07578325124355,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:00061,60,-7.9679339891021534,37.0769206488168,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:EREDES:1107S5901900:60,60,-9.13962026311079,38.8876480230836,EREDES:1107S5901900,FANHÕES,1107S5901900,substation,E-REDES,DIRECT_EREDES,96.181983767567
BUS:JUNCTION:60:00063,60,-7.976564604223379,39.241066774407514,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:00064,60,-8.382161114546689,40.16235858438606,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
