facility_id,source,source_status,facility_type,name,normalized_name,code,voltage_kv,lon,lat,tags_json
EREDES:1105S5901100,E-REDES,DIRECT_EREDES,substation,ABÓBODA,aboboda,1105S5901100,60,-9.32468695458837,38.7320465820768,{}
EREDES:1105S5903300,E-REDES,DIRECT_EREDES,substation,CASCAIS,cascais,1105S5903300,60,-9.41159109304684,38.7132927956168,{}
EREDES:1105S5376000,E-REDES,DIRECT_EREDES,substation,ESTORIL,estoril,1105S5376000,60,-9.39581361223918,38.7046857521998,{}
EREDES:1106S5025800,E-REDES,DIRECT_EREDES,substation,CENTRAL TEJO,central tejo,1106S5025800,60,-9.1946937866289,38.6959355260337,{}
EREDES:1106S5431000,E-REDES,DIRECT_EREDES,substation,ENTRECAMPOS,entrecampos,1106S5431000,60,-9.14614429751852,38.7451994394304,{}
EREDES:1106S5375000,E-REDES,DIRECT_EREDES,substation,LUZ,luz,1106S5375000,60,-9.18862980701124,38.7496391479842,{}
EREDES:1106S5902900,E-REDES,DIRECT_EREDES,substation,MARVILA,marvila,1106S5902900,60,-9.10334829826404,38.7440561181026,{}
EREDES:1106S5064000,E-REDES,DIRECT_EREDES,substation,SANTA MARTA,santa marta,1106S5064000,60,-9.14635167449829,38.723760377874,{}
EREDES:1106S5242000,E-REDES,DIRECT_EREDES,substation,TELHEIRAS,telheiras,1106S5242000,60,-9.16396442716846,38.7677659648803,{}
EREDES:1106S5183100,E-REDES,DIRECT_EREDES,substation,ZAMBUJAL,zambujal,1106S5183100,60,-9.21261322266986,38.7208265716968,{}
EREDES:1110S5270000,E-REDES,DIRECT_EREDES,substation,MIRAFLORES,miraflores,1110S5270000,60,-9.23128895710694,38.7108680061072,{}
EREDES:1113S5480800,E-REDES,DIRECT_EREDES,substation,MATACÃES,matacaes,1113S5480800,60,-9.21140250387858,39.1018754423459,{}
EREDES:1112S5901400,E-REDES,DIRECT_EREDES,substation,CABEDA,cabeda,1112S5901400,60,-9.16667085768563,39.0110842558322,{}
EREDES:1111S5221600,E-REDES,DIRECT_EREDES,substation,CACÉM,cacem,1111S5221600,60,-9.28871750859266,38.7574807260228,{}
EREDES:1111S5127800,E-REDES,DIRECT_EREDES,substation,CAPA ROTA,capa rota,1111S5127800,60,-9.36324270861278,38.7604004590443,{}
EREDES:1111S5395000,E-REDES,DIRECT_EREDES,substation,MEM MARTINS,mem martins,1111S5395000,60,-9.33633618183811,38.8036537652089,{}
EREDES:1111S5066400,E-REDES,DIRECT_EREDES,substation,PERO PINHEIRO,pero pinheiro,1111S5066400,60,-9.32625843841308,38.8508914400789,{}
EREDES:1111S5850000,E-REDES,DIRECT_EREDES,substation,RIO MOURO,rio mouro,1111S5850000,60,-9.32378266541571,38.7785956289096,{}
EREDES:1111S5200000,E-REDES,DIRECT_EREDES,substation,SABUGO,sabugo,1111S5200000,60,-9.30008023159825,38.834110538687,{}
EREDES:1111S5903100,E-REDES,DIRECT_EREDES,substation,SÃO MARCOS,sao marcos,1111S5903100,60,-9.30298072974004,38.7510208313432,{}
EREDES:1115S5440000,E-REDES,DIRECT_EREDES,substation,VENTEIRA,venteira,1115S5440000,60,-9.23533506062851,38.745068326833,{}
EREDES:0102S5000700,E-REDES,DIRECT_EREDES,substation,ALBERGARIA,albergaria,0102S5000700,60,-8.47754493097749,40.745339021957,{}
EREDES:0105S5001500,E-REDES,DIRECT_EREDES,substation,AVEIRO,aveiro,0105S5001500,60,-8.6432187296746,40.636122584255,{}
EREDES:0105S5003900,E-REDES,DIRECT_EREDES,substation,ESGUEIRA,esgueira,0105S5003900,60,-8.61904718282078,40.64977607702,{}
EREDES:0116S5002800,E-REDES,DIRECT_EREDES,substation,DEVESA VELHA,devesa velha,0116S5002800,60,-8.47800912203705,40.8867215448746,{}
EREDES:0109S5007900,E-REDES,DIRECT_EREDES,substation,INHA,inha,0109S5007900,60,-8.4359121848815,41.0172840975065,{}
EREDES:0109S5009900,E-REDES,DIRECT_EREDES,substation,SANGUEDO,sanguedo,0109S5009900,60,-8.53035507988992,41.0002115452873,{}
EREDES:0106S5021300,E-REDES,DIRECT_EREDES,substation,FORNOS,fornos,0106S5021300,60,-8.24224679886584,41.0546118372906,{}
EREDES:0603S5005100,E-REDES,DIRECT_EREDES,substation,ALEGRIA,alegria,0603S5005100,60,-8.42449283627059,40.2045146919752,{}
EREDES:0603S5006400,E-REDES,DIRECT_EREDES,substation,CORRENTE,corrente,0603S5006400,60,-8.39629141547915,40.2281040032568,{}
EREDES:0603S5006100,E-REDES,DIRECT_EREDES,substation,TAVEIRO,taveiro,0603S5006100,60,-8.50829225612141,40.197154410492,{}
EREDES:0615S5010500,E-REDES,DIRECT_EREDES,substation,SOURE,soure,0615S5010500,60,-8.63252320413105,40.0438220458298,{}
EREDES:0612S5003700,E-REDES,DIRECT_EREDES,substation,SANTA LUZIA,santa luzia,0612S5003700,60,-7.81866963098831,40.079692690655,{}
EREDES:0801S5063000,E-REDES,DIRECT_EREDES,substation,ALBUFEIRA,albufeira,0801S5063000,60,-8.24974575735014,37.0958818398098,{}
EREDES:0801S5900800,E-REDES,DIRECT_EREDES,substation,MONTECHORO,montechoro,0801S5900800,60,-8.22268082021932,37.1113466403544,{}
EREDES:0803S5904000,E-REDES,DIRECT_EREDES,substation,POLDRA,poldra,0803S5904000,60,-8.77901244728105,37.212234882542,{}
EREDES:0808S5903600,E-REDES,DIRECT_EREDES,substation,ALMANCIL,almancil,0808S5903600,60,-7.99178435269155,37.0722491432604,{}
EREDES:0808S5063400,E-REDES,DIRECT_EREDES,substation,VILAMOURA,vilamoura,0808S5063400,60,-8.14067813987665,37.1159490104956,{}
EREDES:0814S5413300,E-REDES,DIRECT_EREDES,substation,CONCEIÇÃO,conceicao,0814S5413300,60,-7.57249692859118,37.1859823177839,{}
EREDES:0807S5063100,E-REDES,DIRECT_EREDES,substation,LAGOS,lagos,0807S5063100,60,-8.69537961713379,37.1045229233398,{}
EREDES:1501S5053900,E-REDES,DIRECT_EREDES,substation,VALE DE GAIO,vale de gaio,1501S5053900,60,-8.31516483707305,38.2665137489847,{}
EREDES:1503S5021300,E-REDES,DIRECT_EREDES,substation,AROEIRA,aroeira,1503S5021300,60,-9.16322422660795,38.5846061028923,{}
EREDES:1512S5990700,E-REDES,DIRECT_EREDES,substation,SE MÓVEL 07,movel 07,1512S5990700,60,-8.87799617101151,38.5468625504191,{}
EREDES:1512S5031900,E-REDES,DIRECT_EREDES,substation,TERROA,terroa,1512S5031900,60,-8.86139348342098,38.5236162143309,{}
EREDES:1510S5021200,E-REDES,DIRECT_EREDES,substation,FOGUETEIRO,fogueteiro,1510S5021200,60,-9.11331320253183,38.6146183304279,{}
EREDES:1510S5022300,E-REDES,DIRECT_EREDES,substation,SEIXAL,seixal,1510S5022300,60,-9.09880506834704,38.6265781654814,{}
EREDES:1511S5020600,E-REDES,DIRECT_EREDES,substation,QUINTA DO CONDE,quinta do conde,1511S5020600,60,-9.07337451340172,38.5439716536938,{}
EREDES:1511S5021000,E-REDES,DIRECT_EREDES,substation,SANTANA,santana,1511S5021000,60,-9.13648414300182,38.4536707901775,{}
EREDES:1212S5666200,E-REDES,DIRECT_EREDES,substation,ALPALHÃO,alpalhao,1212S5666200,60,-7.61951905818462,39.4248577736793,{}
EREDES:1213S5566900,E-REDES,DIRECT_EREDES,substation,PONTE SOR,ponte sor,1213S5566900,60,-8.00056386836767,39.2345522486781,{}
EREDES:0502S5010400,E-REDES,DIRECT_EREDES,substation,ALCAINS,alcains,0502S5010400,60,-7.46779856271541,39.9200314966156,{}
EREDES:0503S5006600,E-REDES,DIRECT_EREDES,substation,VÁRZEA,varzea,0503S5006600,60,-7.47915608917916,40.2897065743956,{}
EREDES:1403S5799800,E-REDES,DIRECT_EREDES,substation,ALMEIRIM,almeirim,1403S5799800,60,-8.62247680721767,39.1967860073129,{}
EREDES:1405S5906000,E-REDES,DIRECT_EREDES,substation,BENAVENTE,benavente,1405S5906000,60,-8.79933421870287,38.9782154498673,{}
EREDES:1405S5680800,E-REDES,DIRECT_EREDES,substation,CARRASCAL,carrascal,1405S5680800,60,-8.85373624625118,38.9148122335011,{}
EREDES:1419S5627800,E-REDES,DIRECT_EREDES,substation,SERRADA GRANDE,serrada grande,1419S5627800,60,-8.54837270810758,39.4688281430257,{}
EREDES:1402S5568200,E-REDES,DIRECT_EREDES,substation,VILA MOREIRA,vila moreira,1402S5568200,60,-8.6605199231738,39.4688669214576,{}
EREDES:1001S5905000,E-REDES,DIRECT_EREDES,substation,ALCOBAÇA,alcobaca,1001S5905000,60,-8.96741327600479,39.5537364485248,{}
EREDES:1009S5002200,E-REDES,DIRECT_EREDES,substation,ANDRINOS,andrinos,1009S5002200,60,-8.79166070453163,39.7483818641892,{}
EREDES:1009S5002600,E-REDES,DIRECT_EREDES,substation,ORTIGOSA,ortigosa,1009S5002600,60,-8.83557671218514,39.8322997774389,{}
EREDES:1009S5023300,E-REDES,DIRECT_EREDES,substation,PARCEIROS,parceiros,1009S5023300,60,-8.82802680080663,39.7380331146705,{}
EREDES:1009S5002700,E-REDES,DIRECT_EREDES,substation,PINHEIROS,pinheiros,1009S5002700,60,-8.78963271855867,39.7713198428015,{}
EREDES:1315S5021000,E-REDES,DIRECT_EREDES,substation,PALMILHEIRA,palmilheira,1315S5021000,60,-8.55626032403403,41.2023188028173,{}
EREDES:1308S5007600,E-REDES,DIRECT_EREDES,substation,CUSTÓIAS,custoias,1308S5007600,60,-8.64643359695418,41.1984650857493,{}
EREDES:1308S5009500,E-REDES,DIRECT_EREDES,substation,MATOSINHOS SUL,matosinhos sul,1308S5009500,60,-8.6751190637817,41.1759873840744,{}
EREDES:1303S5009100,E-REDES,DIRECT_EREDES,substation,FELGUEIRAS,felgueiras,1303S5009100,60,-8.19070061155552,41.3458050749596,{}
EREDES:1317S5003500,E-REDES,DIRECT_EREDES,substation,VERDINHO,verdinho,1317S5003500,60,-8.63668186459967,41.1283598742994,{}
EREDES:0213S5903000,E-REDES,DIRECT_EREDES,substation,BRINCHES,brinches,0213S5903000,60,-7.61678106226816,38.0312907801246,{}
EREDES:0211S5053600,E-REDES,DIRECT_EREDES,substation,SÃO TEOTÓNIO,sao teotonio,0211S5053600,60,-8.70217322145864,37.4890646799158,{}
EREDES:0312S5001200,E-REDES,DIRECT_EREDES,substation,CANIÇOS,canicos,0312S5001200,60,-8.4356974598059,41.3635051346273,{}
EREDES:0312S5003800,E-REDES,DIRECT_EREDES,substation,REQUIÃO,requiao,0312S5003800,60,-8.49762245884862,41.4087515522692,{}
EREDES:0308S5013400,E-REDES,DIRECT_EREDES,substation,SÃO JOÃO DE PONTE,sao joao de ponte,0308S5013400,60,-8.33106095035021,41.4626635191482,{}
EREDES:1803S5004800,E-REDES,DIRECT_EREDES,substation,CASTRO DAIRE,castro daire,1803S5004800,60,-7.96872438588664,40.911311400566,{}
EREDES:1107S5167800,E-REDES,DIRECT_EREDES,substation,ANAIA,anaia,1107S5167800,60,-9.08635798887418,38.8380869645039,{}
EREDES:1107S5903700,E-REDES,DIRECT_EREDES,substation,CAMARATE,camarate,1107S5903700,60,-9.12604718555837,38.8076877128498,{}
EREDES:1116S5340000,E-REDES,DIRECT_EREDES,substation,ARROJA,arroja,1116S5340000,60,-9.19080965783365,38.7956554364485,{}
EREDES:1104S5672000,E-REDES,DIRECT_EREDES,substation,CADAVAL,cadaval,1104S5672000,60,-9.05023024072345,39.281090060961,{}
EREDES:1101S5901600,E-REDES,DIRECT_EREDES,substation,CHEGANÇAS,chegancas,1101S5901600,60,-8.99460562801865,39.0643261046474,{}
EREDES:1101S5423500,E-REDES,DIRECT_EREDES,substation,MERCEANA,merceana,1101S5423500,60,-9.11556162327268,39.0854341268528,{}
EREDES:1101S5335200,E-REDES,DIRECT_EREDES,substation,VALE TEJO,vale tejo,1101S5335200,60,-8.95910206687394,39.0138788453139,{}
EREDES:1109S5727400,E-REDES,DIRECT_EREDES,substation,TELHEIRO,telheiro,1109S5727400,60,-9.34682985898176,38.980831247343,{}
EREDES:0402S5005100,E-REDES,DIRECT_EREDES,substation,BRAGANÇA,braganca,0402S5005100,60,-6.77086493332951,41.7920255730888,{}
EREDES:0405S5002200,E-REDES,DIRECT_EREDES,substation,MACEDO DE CAVALEIROS,macedo de cavaleiros,0405S5002200,60,-6.96732990695951,41.5375093342728,{}
EREDES:0408S5010300,E-REDES,DIRECT_EREDES,substation,MOGADOURO,mogadouro,0408S5010300,60,-6.57058301245969,41.3392700834513,{}
EREDES:0108S5001000,E-REDES,DIRECT_EREDES,substation,AVANCA,avanca,0108S5001000,60,-8.56878202493117,40.8076159881582,{}
EREDES:0602S5005900,E-REDES,DIRECT_EREDES,substation,CANTANHEDE,cantanhede,0602S5005900,60,-8.58426601756492,40.3489881915674,{}
EREDES:0607S5003400,E-REDES,DIRECT_EREDES,substation,LOUSÃ,lousa,0607S5003400,60,-8.24568592660392,40.1201515894044,{}
EREDES:0611S5000300,E-REDES,DIRECT_EREDES,substation,OLIVEIRA DO HOSPITAL,oliveira do hospital,0611S5000300,60,-7.86236107473726,40.3682071300528,{}
EREDES:0806S5060700,E-REDES,DIRECT_EREDES,substation,LAGOA,lagoa,0806S5060700,60,-8.46782768859256,37.1189572567284,{}
EREDES:0811S5063200,E-REDES,DIRECT_EREDES,substation,PORTIMÃO,portimao,0811S5063200,60,-8.5591266423204,37.1247733089331,{}
EREDES:0811S5060400,E-REDES,DIRECT_EREDES,substation,PORTO DE LAGOS,porto de lagos,0811S5060400,60,-8.53221157894838,37.1772224457455,{}
EREDES:1504S5020200,E-REDES,DIRECT_EREDES,substation,COINA,coina,1504S5020200,60,-9.04379210227551,38.5879552207102,{}
EREDES:1504S5020700,E-REDES,DIRECT_EREDES,substation,VILA CHÃ,vila cha,1504S5020700,60,-9.03752042527927,38.6232485152187,{}
EREDES:1202S5901700,E-REDES,DIRECT_EREDES,substation,ARRONCHES,arronches,1202S5901700,60,-7.28885852195264,39.1151766663362,{}
EREDES:0504S5008900,E-REDES,DIRECT_EREDES,substation,FUNDÃO,fundao,0504S5008900,60,-7.49407281195317,40.1691692232885,{}
EREDES:0508S5008800,E-REDES,DIRECT_EREDES,substation,VALE SERRÃO,vale serrao,0508S5008800,60,-7.89644893662105,39.721562294396,{}
EREDES:0511S5011400,E-REDES,DIRECT_EREDES,substation,VILA VELHA DE RODÃO,vila velha de rodao,0511S5011400,60,-7.67264755366708,39.6738761225107,{}
EREDES:1410S5625300,E-REDES,DIRECT_EREDES,substation,ENTRONCAMENTO,entroncamento,1410S5625300,60,-8.46810688990915,39.4695363704119,{}
EREDES:1421S5004500,E-REDES,DIRECT_EREDES,substation,FÁTIMA,fatima,1421S5004500,60,-8.69085792095743,39.6304006671614,{}
EREDES:1421S5002900,E-REDES,DIRECT_EREDES,substation,OURÉM,ourem,1421S5002900,60,-8.59015218806743,39.6636327416483,{}
EREDES:1414S5001400,E-REDES,DIRECT_EREDES,substation,RIO MAIOR,rio maior,1414S5001400,60,-8.92157933155721,39.3168198381585,{}
EREDES:1002S5023000,E-REDES,DIRECT_EREDES,substation,ALVAIÁZERE,alvaiazere,1002S5023000,60,-8.38429925349996,39.8430336619815,{}
EREDES:1010S5011000,E-REDES,DIRECT_EREDES,substation,CASAL DA LEBRE,casal da lebre,1010S5011000,60,-8.92725704733284,39.7215311160872,{}
EREDES:1013S5011300,E-REDES,DIRECT_EREDES,substation,PEDROGÃO,pedrogao,1013S5011300,60,-8.22209078520433,39.9117592178238,{}
EREDES:1016S5000100,E-REDES,DIRECT_EREDES,substation,SÃO JORGE,sao jorge,1016S5000100,60,-8.85154248808981,39.6306972539376,{}
EREDES:1301S5008700,E-REDES,DIRECT_EREDES,substation,AMARANTE,amarante,1301S5008700,60,-8.09756799510162,41.2934088388982,{}
EREDES:1312S5013300,E-REDES,DIRECT_EREDES,substation,ANTAS,antas,1312S5013300,60,-8.58675815534424,41.1607271754816,{}
EREDES:1312S5012600,E-REDES,DIRECT_EREDES,substation,LAPA,lapa,1312S5012600,60,-8.61267641193657,41.1601946576468,{}
EREDES:1306S5010100,E-REDES,DIRECT_EREDES,substation,GUEIFÃES,gueifaes,1306S5010100,60,-8.59941746203466,41.2071295549077,{}
EREDES:1310S5000800,E-REDES,DIRECT_EREDES,substation,LORDELO,lordelo,1310S5000800,60,-8.41674336468303,41.2531826507663,{}
EREDES:1305S5014600,E-REDES,DIRECT_EREDES,substation,LOUSADA,lousada,1305S5014600,60,-8.29644065495747,41.2643829038044,{}
EREDES:1316S5005600,E-REDES,DIRECT_EREDES,substation,MOSTEIRÔ,mosteiro,1316S5005600,60,-8.65182942550152,41.2851318655637,{}
EREDES:1318S5020300,E-REDES,DIRECT_EREDES,substation,MURO,muro,1318S5020300,60,-8.58075260020073,41.3057104354066,{}
EREDES:0201S5050500,E-REDES,DIRECT_EREDES,substation,ALJUSTREL,aljustrel,0201S5050500,60,-8.1519294443239,37.8786749181258,{}
EREDES:0208S5052500,E-REDES,DIRECT_EREDES,substation,FERREIRA DO ALENTEJO,ferreira do alentejo,0208S5052500,60,-8.09983242581698,38.0592617884869,{}
EREDES:0301S5009900,E-REDES,DIRECT_EREDES,substation,AMARES,amares,0301S5009900,60,-8.34880764147141,41.6207863963065,{}
EREDES:0311S5023400,E-REDES,DIRECT_EREDES,substation,CANIÇADA,canicada,0311S5023400,60,-8.17175824497719,41.6539418048327,{}
EREDES:1610S5001400,E-REDES,DIRECT_EREDES,substation,FRANCE,france,1610S5001400,60,-8.76153551822525,41.8846321560451,{}
EREDES:1606S6011800,E-REDES,DIRECT_EREDES,substation,LINDOSO,lindoso,1606S6011800,60,-8.27029800118786,41.8593361106549,{}
EREDES:1608S5006800,E-REDES,DIRECT_EREDES,substation,VALENÇA,valenca,1608S5006800,60,-8.63403473046996,42.025769606762,{}
EREDES:0701S5042100,E-REDES,DIRECT_EREDES,substation,TERENA,terena,0701S5042100,60,-7.40445524934885,38.6294910943099,{}
