code,bus_id,capacity_mva,fold,bus_index,lon,lat
0101S5000600,BUS:EREDES:0101S5000600:60,63.0,2,2769,-8.45671297621331,40.5931354341641
0101S5001600,BUS:EREDES:0101S5001600:60,63.0,0,336,-8.45500794583358,40.5339021723744
0102S5000700,BUS:EREDES:0102S5000700:60,20.0,4,92,-8.47754493097749,40.745339021957
0102S5010600,BUS:EREDES:0102S5010600:60,40.0,3,93,-8.49929605416157,40.7055561247385
0103S5006000,BUS:EREDES:0103S5006000:60,40.0,2,294,-8.44888386990319,40.4400911087426
0104S5000900,BUS:EREDES:0104S5000900:60,15.0,4,1085,-8.27886319721498,40.9242205177792
0105S5001500,BUS:EREDES:0105S5001500:60,63.0,0,1109,-8.6432187296746,40.636122584255
0105S5003900,BUS:EREDES:0105S5003900:60,63.0,2,581,-8.61904718282078,40.64977607702
0106S5021300,BUS:EREDES:0106S5021300:60,20.0,3,1605,-8.24224679886584,41.0546118372906
0107S5002500,BUS:EREDES:0107S5002500:60,63.0,2,429,-8.63112602755307,41.0114943572135
0108S5001000,BUS:EREDES:0108S5001000:60,51.5,1,1088,-8.56878202493117,40.8076159881582
0109S5007900,BUS:EREDES:0109S5007900:60,20.0,3,275,-8.4359121848815,41.0172840975065
0109S5009200,BUS:EREDES:0109S5009200:60,63.0,3,1082,-8.58748322135081,40.959133792343
0109S5009900,BUS:EREDES:0109S5009900:60,63.0,1,277,-8.53035507988992,41.0002115452873
0109S5010000,BUS:EREDES:0109S5010000:60,63.0,3,1079,-8.50224775536531,40.9034348503888
0109S5014500,BUS:EREDES:0109S5014500:60,31.5,3,2595,-8.52896569062469,40.9464719158103
0109S5020900,BUS:EREDES:0109S5020900:60,31.5,0,1076,-8.59641419508294,41.0074571000553
0110S5004000,BUS:EREDES:0110S5004000:60,51.5,3,1865,-8.69717296501574,40.6303858968003
0110S5007800,BUS:EREDES:0110S5007800:60,63.0,1,1864,-8.65334783901329,40.5880066367729
0111S5006200,BUS:EREDES:0111S5006200:60,40.0,3,1352,-8.42842412554117,40.3462380055416
0113S5008000,BUS:EREDES:0113S5008000:60,63.0,4,292,-8.49014193723323,40.8427939616871
0113S5011100,BUS:EREDES:0113S5011100:60,31.5,3,2396,-8.43515982156,40.8937818311094
0114S5001700,BUS:EREDES:0114S5001700:60,40.0,0,5,-8.60604013704436,40.4874150701647
0114S5022700,BUS:EREDES:0114S5022700:60,31.5,0,8,-8.52022755743856,40.5228889710551
0115S5000800,BUS:EREDES:0115S5000800:60,63.0,3,1097,-8.60826604501897,40.9075920467726
0115S5008100,BUS:EREDES:0115S5008100:60,63.0,2,1099,-8.6071060883818,40.8605998239728
0116S5002800,BUS:EREDES:0116S5002800:60,63.0,1,1362,-8.47800912203705,40.8867215448746
0117S5023700,BUS:EREDES:0117S5023700:60,20.0,2,2489,-8.37579230546136,40.7417661451533
0119S5010100,BUS:EREDES:0119S5010100:60,40.0,1,1419,-8.39395410711342,40.8354449542032
0201S5050500,BUS:EREDES:0201S5050500:60,48.0,1,9,-8.1519294443239,37.8786749181258
0202S5050400,BUS:EREDES:0202S5050400:60,5.0,3,865,-8.02963783369681,37.4828475610126
0202S5052400,BUS:EREDES:0202S5052400:60,20.0,2,1332,-8.07184529434999,37.576708146983
0205S5050100,BUS:EREDES:0205S5050100:60,63.0,0,180,-7.87237439066746,38.0114871410258
0208S5052500,BUS:EREDES:0208S5052500:60,20.0,2,481,-8.09983242581698,38.0592617884869
0210S5050700,BUS:EREDES:0210S5050700:60,20.0,0,125,-7.22560421176997,38.2144761561575
0210S5052300,BUS:EREDES:0210S5052300:60,30.0,0,2052,-7.44275213889534,38.1307689006636
0211S5053400,BUS:EREDES:0211S5053400:60,40.0,2,3088,-8.76612596377235,37.7354913918708
0211S5053600,BUS:EREDES:0211S5053600:60,20.0,1,3168,-8.70217322145864,37.4890646799158
0213S5050300,BUS:EREDES:0213S5050300:60,20.0,0,1682,-7.59820656328118,37.9502615875986
0213S5903000,BUS:EREDES:0213S5903000:60,31.5,1,102,-7.61678106226816,38.0312907801246
0301S5009900,BUS:EREDES:0301S5009900:60,63.0,3,1215,-8.34880764147141,41.6207863963065
0302S5003100,BUS:EREDES:0302S5003100:60,63.0,3,1202,-8.62213340694942,41.5091613627461
0302S5014200,BUS:EREDES:0302S5014200:60,63.0,0,1204,-8.53580683644725,41.5522319690779
0302S5022200,BUS:EREDES:0302S5022200:60,31.5,3,2468,-8.61267500183666,41.5622992750814
0303S5000400,BUS:EREDES:0303S5000400:60,63.0,4,2463,-8.4212842374996,41.5415317179847
0303S5006500,BUS:EREDES:0303S5006500:60,63.0,4,1212,-8.43258896359715,41.5735348630348
0303S5012700,BUS:EREDES:0303S5012700:60,63.0,0,1211,-8.40203103454658,41.5524092946379
0303S5020700,BUS:EREDES:0303S5020700:60,63.0,1,0,-8.43195233319339,41.4967091125347
0305S5012300,BUS:EREDES:0305S5012300:60,40.0,1,2811,-7.99171907597228,41.4271800153238
0306S5004700,BUS:EREDES:0306S5004700:60,40.0,3,1200,-8.73007470527775,41.5005301080802
0307S5004400,BUS:EREDES:0307S5004400:60,63.0,4,1546,-8.1769881181641,41.4458790603869
0308S5001900,BUS:EREDES:0308S5001900:60,70.0,1,1220,-8.36083486062431,41.4297029492454
0308S5008400,BUS:EREDES:0308S5008400:60,63.0,2,326,-8.29831204530944,41.4289328379732
0308S5012800,BUS:EREDES:0308S5012800:60,40.0,3,1219,-8.36145617438311,41.4233992794438
0308S5013400,BUS:EREDES:0308S5013400:60,63.0,0,1720,-8.33106095035021,41.4626635191482
0311S5001300,BUS:EREDES:0311S5001300:60,40.0,1,2866,-8.15296349229658,41.5784463573401
0311S5023400,BUS:EREDES:0311S5023400:60,20.0,1,1780,-8.17175824497719,41.6539418048327
0312S5001200,BUS:EREDES:0312S5001200:60,63.0,0,206,-8.4356974598059,41.3635051346273
0312S5002700,BUS:EREDES:0312S5002700:60,63.0,1,237,-8.54395851094344,41.3578995386367
0312S5003800,BUS:EREDES:0312S5003800:60,63.0,0,1210,-8.49762245884862,41.4087515522692
0312S5008500,BUS:EREDES:0312S5008500:60,31.5,3,2803,-8.44523515571964,41.4052353812598
0313S5020100,BUS:EREDES:0313S5020100:60,31.5,0,3116,-8.46479277771887,41.6368745140645
0402S5005100,BUS:EREDES:0402S5005100:60,63.0,4,1065,-6.77086493332951,41.7920255730888
0405S5002200,BUS:EREDES:0405S5002200:60,35.0,2,2353,-6.96732990695951,41.5375093342728
0407S5014900,BUS:EREDES:0407S5014900:60,40.0,1,1068,-7.18673240519681,41.4724477760407
0408S5010300,BUS:EREDES:0408S5010300:60,25.0,4,699,-6.57058301245969,41.3392700834513
0409S5025200,BUS:EREDES:0409S5025200:60,20.0,0,2469,-7.12319905626291,41.1373175004706
0501S5007400,BUS:EREDES:0501S5007400:60,20.0,1,192,-7.34393321797397,40.3694572788678
0502S5006900,BUS:EREDES:0502S5006900:60,63.0,2,963,-7.52060359032536,39.8222848887065
0502S5010400,BUS:EREDES:0502S5010400:60,31.5,2,315,-7.46779856271541,39.9200314966156
0503S5006600,BUS:EREDES:0503S5006600:60,31.5,3,2064,-7.47915608917916,40.2897065743956
0503S5006700,BUS:EREDES:0503S5006700:60,40.0,1,1916,-7.51312261195989,40.2524811085836
0504S5008900,BUS:EREDES:0504S5008900:60,40.0,3,1013,-7.49407281195317,40.1691692232885
0505S5006800,BUS:EREDES:0505S5006800:60,20.0,0,2944,-7.22563596427213,39.9127153747679
0506S5011200,BUS:EREDES:0506S5011200:60,31.5,2,2701,-7.87882188572064,39.8792239416354
0507S5024400,BUS:EREDES:0507S5024400:60,10.0,4,3023,-7.20101541372892,40.2430546618134
0508S5008800,BUS:EREDES:0508S5008800:60,6.5,0,2917,-7.89644893662105,39.721562294396
0509S5003300,BUS:EREDES:0509S5003300:60,32.5,3,507,-8.09078263269088,39.8012759989275
0511S5011400,BUS:EREDES:0511S5011400:60,20.0,3,1614,-7.67264755366708,39.6738761225107
0601S5003100,BUS:EREDES:0601S5003100:60,20.0,0,972,-8.16086477435781,40.2480601949426
0601S5025900,BUS:EREDES:0601S5025900:60,20.0,3,743,-8.06943333044157,40.2615333294384
0602S5004300,BUS:EREDES:0602S5004300:60,20.0,3,614,-8.7280822579437,40.332546159571
0602S5005900,BUS:EREDES:0602S5005900:60,60.0,3,1039,-8.58426601756492,40.3489881915674
0603S5005100,BUS:EREDES:0603S5005100:60,63.0,3,1658,-8.42449283627059,40.2045146919752
0603S5005200,BUS:EREDES:0603S5005200:60,80.0,0,282,-8.43925500646498,40.2340158626633
0603S5005300,BUS:EREDES:0603S5005300:60,40.0,0,2306,-8.40058055013199,40.1933056641091
