table,id,field,core,working,change
buses,BUS:JUNCTION:60:00479:PI_FEITOSA,model_id,,PT60-v2.0.0,ADDED
buses,BUS:JUNCTION:60:00479:PI_FEITOSA,voltage_kv,,60,ADDED
buses,BUS:JUNCTION:60:00479:PI_FEITOSA,lon,,-8.67338044550424,ADDED
buses,BUS:JUNCTION:60:00479:PI_FEITOSA,lat,,41.74453582837873,ADDED
buses,BUS:JUNCTION:60:00479:PI_FEITOSA,facility_id,,,ADDED
buses,BUS:JUNCTION:60:00479:PI_FEITOSA,facility_name,,,ADDED
buses,BUS:JUNCTION:60:00479:PI_FEITOSA,facility_code,,,ADDED
buses,BUS:JUNCTION:60:00479:PI_FEITOSA,facility_type,,line_endpoint_cluster,ADDED
buses,BUS:JUNCTION:60:00479:PI_FEITOSA,source,,derived,ADDED
buses,BUS:JUNCTION:60:00479:PI_FEITOSA,source_status,,PUBLIC_LANHESES_PI_TOPOLOGY_SPLIT,ADDED
buses,BUS:JUNCTION:60:00479:PI_FEITOSA,endpoint_match_distance_m,,,ADDED
buses,BUS:JUNCTION:60:00480:PI_FEITOSA,model_id,,PT60-v2.0.0,ADDED
buses,BUS:JUNCTION:60:00480:PI_FEITOSA,voltage_kv,,60,ADDED
buses,BUS:JUNCTION:60:00480:PI_FEITOSA,lon,,-8.672394147529364,ADDED
buses,BUS:JUNCTION:60:00480:PI_FEITOSA,lat,,41.74385880464347,ADDED
buses,BUS:JUNCTION:60:00480:PI_FEITOSA,facility_id,,,ADDED
buses,BUS:JUNCTION:60:00480:PI_FEITOSA,facility_name,,,ADDED
buses,BUS:JUNCTION:60:00480:PI_FEITOSA,facility_code,,,ADDED
buses,BUS:JUNCTION:60:00480:PI_FEITOSA,facility_type,,line_endpoint_cluster,ADDED
buses,BUS:JUNCTION:60:00480:PI_FEITOSA,source,,derived,ADDED
buses,BUS:JUNCTION:60:00480:PI_FEITOSA,source_status,,PUBLIC_LANHESES_PI_TOPOLOGY_SPLIT,ADDED
buses,BUS:JUNCTION:60:00480:PI_FEITOSA,endpoint_match_distance_m,,,ADDED
buses,BUS:JUNCTION:60:00481:PI_FEITOSA,model_id,,PT60-v2.0.0,ADDED
buses,BUS:JUNCTION:60:00481:PI_FEITOSA,voltage_kv,,60,ADDED
buses,BUS:JUNCTION:60:00481:PI_FEITOSA,lon,,-8.670960826588098,ADDED
