role,line_id,reason,from_bus_in_service,to_bus_in_service
MAX_NET_EXPORT,LINE:000006,OUT_OF_SERVICE,False,False
MAX_NET_EXPORT,LINE:000057,OUT_OF_SERVICE,False,True
MAX_NET_EXPORT,LINE:000060,OUT_OF_SERVICE,True,True
MAX_NET_EXPORT,LINE:000062,OUT_OF_SERVICE,True,True
MAX_NET_EXPORT,LINE:000081,OUT_OF_SERVICE,False,False
MAX_NET_EXPORT,LINE:000106,OUT_OF_SERVICE,False,True
MAX_NET_EXPORT,LINE:000211,OUT_OF_SERVICE,True,False
MAX_NET_EXPORT,LINE:000350,OUT_OF_SERVICE,False,False
MAX_NET_EXPORT,LINE:000351,OUT_OF_SERVICE,False,False
MAX_NET_EXPORT,LINE:000353,OUT_OF_SERVICE,False,False
MAX_NET_EXPORT,LINE:000354,OUT_OF_SERVICE,False,False
MAX_NET_EXPORT,LINE:000355,OUT_OF_SERVICE,True,False
MAX_NET_EXPORT,LINE:000356,OUT_OF_SERVICE,False,False
MAX_NET_EXPORT,LINE:000357,OUT_OF_SERVICE,False,False
MAX_NET_EXPORT,LINE:000359,OUT_OF_SERVICE,False,False
MAX_NET_EXPORT,LINE:000394,OUT_OF_SERVICE,True,True
MAX_NET_EXPORT,LINE:000467,MISSING_BASE_RESULT,False,False
MAX_NET_EXPORT,LINE:000471,OUT_OF_SERVICE,True,True
MAX_NET_EXPORT,LINE:000497,OUT_OF_SERVICE,False,False
MAX_NET_EXPORT,LINE:000498,OUT_OF_SERVICE,True,False
MAX_NET_EXPORT,LINE:000513,OUT_OF_SERVICE,False,True
MAX_NET_EXPORT,LINE:000562,OUT_OF_SERVICE,False,True
MAX_NET_EXPORT,LINE:000570,OUT_OF_SERVICE,False,False
MAX_NET_EXPORT,LINE:000643,OUT_OF_SERVICE,False,False
MAX_NET_EXPORT,LINE:000644,OUT_OF_SERVICE,False,True
MAX_NET_EXPORT,LINE:000674,OUT_OF_SERVICE,True,True
MAX_NET_EXPORT,LINE:000678,OUT_OF_SERVICE,False,False
MAX_NET_EXPORT,LINE:000685,OUT_OF_SERVICE,True,False
MAX_NET_EXPORT,LINE:000688,OUT_OF_SERVICE,False,True
MAX_NET_EXPORT,LINE:000695,OUT_OF_SERVICE,False,False
MAX_NET_EXPORT,LINE:000735,OUT_OF_SERVICE,True,True
MAX_NET_EXPORT,LINE:000755,OUT_OF_SERVICE,True,False
MAX_NET_EXPORT,LINE:000758,OUT_OF_SERVICE,False,False
MAX_NET_EXPORT,LINE:000774,OUT_OF_SERVICE,False,False
MAX_NET_EXPORT,LINE:000805,OUT_OF_SERVICE,True,False
MAX_NET_EXPORT,LINE:000810,OUT_OF_SERVICE,True,True
MAX_NET_EXPORT,LINE:000841,OUT_OF_SERVICE,False,True
MAX_NET_EXPORT,LINE:000920,OUT_OF_SERVICE,True,True
MAX_NET_EXPORT,LINE:000970,OUT_OF_SERVICE,False,False
MAX_NET_EXPORT,LINE:000976,OUT_OF_SERVICE,False,True
MAX_NET_EXPORT,LINE:001003,OUT_OF_SERVICE,False,True
MAX_NET_EXPORT,LINE:001018,OUT_OF_SERVICE,False,True
MAX_NET_EXPORT,LINE:001021,OUT_OF_SERVICE,True,True
MAX_NET_EXPORT,LINE:001024,OUT_OF_SERVICE,True,True
MAX_NET_EXPORT,LINE:001048,OUT_OF_SERVICE,True,True
MAX_NET_EXPORT,LINE:001056,OUT_OF_SERVICE,False,True
MAX_NET_EXPORT,LINE:001057,OUT_OF_SERVICE,False,True
MAX_NET_EXPORT,LINE:001138,OUT_OF_SERVICE,True,True
MAX_NET_EXPORT,LINE:001176,OUT_OF_SERVICE,True,False
MAX_NET_EXPORT,LINE:001257,OUT_OF_SERVICE,False,True
MAX_NET_EXPORT,LINE:001297,OUT_OF_SERVICE,False,False
MAX_NET_EXPORT,LINE:001345,OUT_OF_SERVICE,True,True
MAX_NET_EXPORT,LINE:001400,OUT_OF_SERVICE,False,False
MAX_NET_EXPORT,LINE:001401,OUT_OF_SERVICE,False,False
MAX_NET_EXPORT,LINE:001439,OUT_OF_SERVICE,True,True
MAX_NET_EXPORT,LINE:001474,OUT_OF_SERVICE,False,False
MAX_NET_EXPORT,LINE:001475,OUT_OF_SERVICE,True,False
MAX_NET_EXPORT,LINE:001492,OUT_OF_SERVICE,False,True
MAX_NET_EXPORT,LINE:001678,OUT_OF_SERVICE,False,False
MAX_NET_EXPORT,LINE:001705,OUT_OF_SERVICE,True,False
MAX_NET_EXPORT,LINE:001706,OUT_OF_SERVICE,False,False
MAX_NET_EXPORT,LINE:001777,OUT_OF_SERVICE,True,True
MAX_NET_EXPORT,LINE:001779,OUT_OF_SERVICE,True,True
MAX_NET_EXPORT,LINE:001780,OUT_OF_SERVICE,True,True
MAX_NET_EXPORT,LINE:001796,OUT_OF_SERVICE,False,True
MAX_NET_EXPORT,LINE:001827,OUT_OF_SERVICE,True,True
