month,cases,observed_load_energy_mwh,pdirt_residual_energy_mwh,direct_share_of_consumption,pdirt_share_of_consumption,generation_proxy_share,load_proxy_max_share,generation_proxy_max_share,high_load_proxy_intervals,high_generation_proxy_intervals,max_load_partition_error_mw
2025-05,2976,2763410.2191500003,1304485.2808500002,0.6793218309442807,0.3206781690557194,0.0006324615752026849,0.48077919508867667,0.0020965806072678196,0,0,0.0
2025-06,2880,2846020.246325,1263899.178675,0.6924759227670261,0.30752407723297404,0.0005309437216896295,0.4540536114501277,0.0016395807289162406,0,0,0.0
2025-07,2976,3148568.97505,1333279.4749500002,0.7025157164896997,0.2974842835103003,0.0004542510395474208,0.4402370899371463,0.0017663534513914485,0,0,0.0
2025-08,2976,3011069.442575,1242977.207425,0.7078129814526128,0.29218701854738705,0.0004868112612130777,0.4386883432963279,0.0015793687377180408,0,0,0.0
2025-09,2880,2865237.8742500003,1298402.65075,0.6881568802700613,0.3118431197299387,0.0004516094827820405,0.4686637437636337,0.0014349790907864548,0,0,0.0
2025-10,2980,3088825.37985,1288949.32015,0.7055697452520798,0.29443025474792023,0.00017099704600346058,0.4337868344073724,0.0014851601666392067,0,0,0.0
2025-11,2880,3336650.8779975,1189201.7720025,0.7372424902073423,0.2627575097926575,0.00010183308762094298,0.4058601933252782,0.0015198017971378899,0,0,0.0
2025-12,2976,3731923.611277,1248643.088723,0.7492969848746329,0.2507030151253672,0.00032463097838341694,0.37151737703761195,0.001988904999054403,0,0,0.0
2026-01,2976,4016046.900975,1385238.199025,0.7435354414035653,0.2564645585964348,0.00014594955801817302,0.35595547316851733,0.0012078950478666814,0,0,0.0
2026-02,2688,3304271.4989750003,1276616.451025,0.7213168134739031,0.27868318652609697,0.00010421882565570984,0.39854626960618655,0.000972795317148066,0,0,0.0
2026-03,2304,2541661.2059,1130768.2441,0.6920925889808448,0.30790741101915514,0.0004350093883013814,0.5287712951368913,0.001354207628784913,59,0,0.0
