line_id,total_selections,total_solved_experiments,overall_frequency,states_selected,persistent_states,max_within_state_frequency
LINE:000001,0,264,0.0,0,0,0.0
LINE:000002,0,264,0.0,0,0,0.0
LINE:000003,0,264,0.0,0,0,0.0
LINE:000004,0,264,0.0,0,0,0.0
LINE:000006,0,264,0.0,0,0,0.0
LINE:000007,0,264,0.0,0,0,0.0
LINE:000009,0,264,0.0,0,0,0.0
LINE:000010,0,264,0.0,0,0,0.0
LINE:000011,0,264,0.0,0,0,0.0
LINE:000012,0,264,0.0,0,0,0.0
LINE:000014,0,264,0.0,0,0,0.0
LINE:000015,0,264,0.0,0,0,0.0
LINE:000017,43,264,0.16287878787878787,10,1,0.9166666666666666
LINE:000018,0,264,0.0,0,0,0.0
LINE:000019,0,264,0.0,0,0,0.0
LINE:000020,0,264,0.0,0,0,0.0
LINE:000022,0,264,0.0,0,0,0.0
LINE:000023,0,264,0.0,0,0,0.0
LINE:000024,0,264,0.0,0,0,0.0
LINE:000026,0,264,0.0,0,0,0.0
LINE:000027,0,264,0.0,0,0,0.0
LINE:000028,0,264,0.0,0,0,0.0
LINE:000029,0,264,0.0,0,0,0.0
LINE:000031,0,264,0.0,0,0,0.0
LINE:000034,0,264,0.0,0,0,0.0
LINE:000039,0,264,0.0,0,0,0.0
LINE:000041,0,264,0.0,0,0,0.0
LINE:000042,0,264,0.0,0,0,0.0
LINE:000043,0,264,0.0,0,0,0.0
LINE:000044,0,264,0.0,0,0,0.0
LINE:000045,0,264,0.0,0,0,0.0
LINE:000047,0,264,0.0,0,0,0.0
LINE:000052,0,264,0.0,0,0,0.0
LINE:000053,0,264,0.0,0,0,0.0
LINE:000054,0,264,0.0,0,0,0.0
LINE:000055,0,264,0.0,0,0,0.0
LINE:000056,0,264,0.0,0,0,0.0
LINE:000057,0,264,0.0,0,0,0.0
LINE:000058,0,264,0.0,0,0,0.0
LINE:000059,0,264,0.0,0,0,0.0
LINE:000060,0,264,0.0,0,0,0.0
LINE:000062,0,264,0.0,0,0,0.0
LINE:000066,0,264,0.0,0,0,0.0
LINE:000067,0,264,0.0,0,0,0.0
LINE:000069,0,264,0.0,0,0,0.0
LINE:000070,0,264,0.0,0,0,0.0
LINE:000071,0,264,0.0,0,0,0.0
LINE:000074,0,264,0.0,0,0,0.0
LINE:000075,0,264,0.0,0,0,0.0
LINE:000078,0,264,0.0,0,0,0.0
LINE:000081,0,264,0.0,0,0,0.0
